@relation bank

@attribute age numeric
@attribute sex {FEMALE,MALE}
@attribute region {INNER_CITY,TOWN,RURAL,SUBURBAN}
@attribute income numeric
@attribute married {NO,YES}
@attribute children {0,1,2,3}
@attribute car {NO,YES}
@attribute save_act {NO,YES}
@attribute current_act {NO,YES}
@attribute mortgage {NO,YES}
@attribute pep {YES,NO}

@data

48,FEMALE,INNER_CITY,17546,NO,1,NO,NO,NO,NO,YES
40,MALE,TOWN,30085.1,YES,3,YES,NO,YES,YES,NO
51,FEMALE,INNER_CITY,16575.4,YES,0,YES,YES,YES,NO,NO
23,FEMALE,TOWN,20375.4,YES,3,NO,NO,YES,NO,NO
57,FEMALE,RURAL,50576.3,YES,0,NO,YES,NO,NO,NO
57,FEMALE,TOWN,37869.6,YES,2,NO,YES,YES,NO,YES
22,MALE,RURAL,8877.07,NO,0,NO,NO,YES,NO,YES
58,MALE,TOWN,24946.6,YES,0,YES,YES,YES,NO,NO
37,FEMALE,SUBURBAN,25304.3,YES,2,YES,NO,NO,NO,NO
54,MALE,TOWN,24212.1,YES,2,YES,YES,YES,NO,NO
66,FEMALE,TOWN,59803.9,YES,0,NO,YES,YES,NO,NO
52,FEMALE,INNER_CITY,26658.8,NO,0,YES,YES,YES,YES,NO
44,FEMALE,TOWN,15735.8,YES,1,NO,YES,YES,YES,YES
66,FEMALE,TOWN,55204.7,YES,1,YES,YES,YES,YES,YES
36,MALE,RURAL,19474.6,YES,0,NO,YES,YES,YES,NO
38,FEMALE,INNER_CITY,22342.1,YES,0,YES,YES,YES,YES,NO
37,FEMALE,TOWN,17729.8,YES,2,NO,NO,NO,YES,NO
46,FEMALE,SUBURBAN,41016,YES,0,NO,YES,NO,YES,NO
62,FEMALE,INNER_CITY,26909.2,YES,0,NO,YES,NO,NO,YES
31,MALE,TOWN,22522.8,YES,0,YES,YES,YES,NO,NO
61,MALE,INNER_CITY,57880.7,YES,2,NO,YES,NO,NO,YES
50,MALE,TOWN,16497.3,YES,2,NO,YES,YES,NO,NO
54,MALE,INNER_CITY,38446.6,YES,0,NO,YES,YES,NO,NO
27,FEMALE,TOWN,15538.8,NO,0,YES,YES,YES,YES,NO
22,MALE,INNER_CITY,12640.3,NO,2,YES,YES,YES,NO,NO
56,MALE,INNER_CITY,41034,YES,0,YES,YES,YES,YES,NO
45,MALE,INNER_CITY,20809.7,YES,0,NO,YES,YES,YES,NO
39,FEMALE,TOWN,20114,YES,1,NO,NO,YES,NO,YES
