"influences";"influenced"
"Abbie Hoffman";"Lenny B"
"Alfred Marshall";"Léon Wal"
"Amartya Sen";"John Maynard Keyn"
"Amartya Sen";"Kenneth Arrow"
"Ambrosius Holbein";"Hans Holbein the El"
"Andrzej Waj";"Jerzy Grotowsk"
"Anthony B";"Ford Madox F"
"Anthony B";"Vladimir Nabokov"
"Bill Hick";"Lenny B"
"Bob Black";"Abbie Hoffman"
"Edmond Hamilton";"Leigh Brack"
"Edmund Blunden";"Siegfried Sassoon"
"Ezra Poun";"Ford Madox F"
"Ezra Poun";"François Villon"
"Gary Beck";"Alfred Marshall"
"Hans Holbein the Youn";"Hans Holbein the El"
"Harry Turtledov";"L. Sprague de Cam"
"Ian C";"William S. B"
"Irvine Wel";"William S. B"
"Jacques D";"Martin H"
"Jacques D";"Jean Hyppol"
"John Maynard Keyn";"Alfred Marshall"
"John Maynard Keyn";"George Bool"
"John Maynard Keyn";"Piero Sraff"
"John Maynard Keyn";"Thomas Robert Mal"
"José Saram";"Michel de Montaign"
"Lloyd Alexan";"T. H. W"
"Ov";"Virgil"
"Ralph Ellison";"William Faulkn"
"Robert Grav";"Siegfried Sassoon"
"Rudolf Carn";"Gottlob F"
"Seamus Heaney";"Ted H"
"Seamus Heaney";"Virgil"
"Siegfried Sassoon";"Thomas Hardy"
"Steven B";"Roger Zelazny"
"Sylvia Pl";"Stevie Sm"
"Sylvia Pl";"Ted H"
"Talcott Parson";"Alfred North W"
"Talcott Parson";"Émile Durkheim"
"Ted Nelson";"Vannevar B"
"Ted Nelson";"Gordon Pask"
"Tennessee William";"August Strin"
"Terry Brook";"Lloyd Alexan"
"Terry P";"Lloyd Alexan"
"Thomas Edison";"Thomas Pain"
"Thomas Pynchon";"Vladimir Nabokov"
"Thomas Pynchon";"William S. B"
"Tom W";"William S. B"
"Toni Morrison";"Virginia Woolf"
"Toni Morrison";"William Faulkn"
"Virgil";"L"
"Willard Van Orman Quin";"Rudolf Carn"
"William Alston";"Thomas R"
"William Gibson";"William S. B"
"William Shak";"Michel de Montaign"
"William Shak";"Ov"
"William Shak";"Virgil"
"William Thomson, 1st Baron Kelvin";"Julius von May"
"Claude Lef";"Cornelius C"
"Albert Borgmann";"Martin H"
"Edgar Morin";"Cornelius C"
"Ervin László";"Alfred North W"
"Frederick Terman";"Lewis Terman"
"Greg Colson";"Bruce Nauman"
"Gregorio Ricci-C";"Elwin Bruno Christoffel"
"Henri Michaux";"Stéphane Mallarmé"
"J. M. Coetz";"Ford Madox F"
"J. M. Coetz";"William Faulkn"
"Kuzma Petrov-Vodkin";"Mikhail Vrubel"
"Paula Vogel";"Edward Al"
"Peter Sloterdijk";"Martin H"
"Philip Levine (poet)";"John Berryman"
"Philippa F";"Elizabeth Anscom"
"Sverre Petterssen";"Tor Bergeron"
"Rolland Golden";"John McCrady"
"Allan G";"Kenneth Arrow"
"Iambl";"Plotin"
"John Lighton Syn";"Alfred North W"
"Mary Dougl";"Émile Durkheim"
"Medbh McGuckian";"Seamus Heaney"
"Michael Balin";"Sándor Ferencz"
"Tudor Vian";"Tudor Arghez"
"Victor Shestakov";"George Bool"
"Ernesto Lacl";"Antonio Gram"
"Homi K. B";"Salman R"
"Michael Sl";"Philippa F"
"Thomas Piketty";"John Maynard Keyn"
"Jonathan H";"Émile Durkheim"
"Peter Gelderl";"Bob Black"
"Boots Riley";"Abbie Hoffman"
"Jim B";"Lloyd Alexan"
"Catherynne M. Valen";"Roger Zelazny"
"Christian Cardell C";"Florence Wyl"
"Elizabeth Bradford Holbrook";"Florence Wyl"
"Octavio Paz";"Stéphane Mallarmé"
"Octavio Paz";"Rubén Darí"
"Albert G";"Otto Hahn"
"Carol Ann Duffy";"Ted H"
"David Bohm";"Alfred North W"
"Dian Fossey";"George Schall"
"Elizabeth B";"Alice Dayrell Caldeira Bran"
"Erving Goffman";"Herbert Blum"
"Gabriel Naudé";"Cesare Cremonini (philosopher)"
"George Akerlof";"John Maynard Keyn"
"Harper L";"William Faulkn"
"Jean Moré";"Stéphane Mallarmé"
"John Hick";"John Maynard Keyn"
"Ludwig Tieck";"Torquato T"
"Martinus Beijerinck";"Sergei Winogradsky"
"Nicholas Kal";"John Maynard Keyn"
"Pierre Victurnien Vergn";"Thomas Pain"
"Robert G. Ingersoll";"Thomas Pain"
"Slavoj Žižek";"Ernesto Lacl"
"Victor Cousin";"Thomas R"
"Xen";"S"
"Ziya Gökal";"Émile Durkheim"
"James Frederick F";"Thomas R"
"Alain B";"Martin H"
"Alain B";"Stéphane Mallarmé"
"Jan Myrdal";"August Strin"
"Joan Robinson";"John Maynard Keyn"
"Karl Löw";"Martin H"
"Lewis Grassic Gibbon";"George Douglas Brown"
"Oskar R. Lan";"Léon Wal"
"Raymond G";"Theodor W. Adorn"
"Selman Waksman";"Sergei Winogradsky"
"C. D. B";"Alfred North W"
"Giovanni Gentil";"Giuseppe Mazzin"
"Salah J";"Zaki al-Arsuz"
"Aleksandr Dugin";"Martin H"
"Eugen B";"Tudor Arghez"
"Hubert Dreyf";"Martin H"
"Jay Rosen";"Wilfrid Sell"
"Robie Macauley";"Ford Madox F"
"Wolfgang Stützel";"John Maynard Keyn"
"Edmund Y";"Vladimir Nabokov"
"Steve Rayn";"Mary Dougl"
"Milič Čapek";"Alfred North W"
"Nancey Murphy";"Imre Lak"
"Abraham ibn Ez";"Abraham bar Hiyy"
"Alfred Radcliffe-Brown";"Émile Durkheim"
"Augustus De Morgan";"George Bool"
"Eavan Bolan";"Seamus Heaney"
"Eddie Izz";"Lenny B"
"Eugène Delacroix";"Ov"
"John Banvill";"Vladimir Nabokov"
"John O'Neill (philosopher)";"Otto N"
"Kay Nielsen";"John Bauer (illustrator)"
"Manmohan Sin";"John Maynard Keyn"
"Paul A. Baran";"Josef Steindl"
"Peter Brown (historian)";"Mary Dougl"
"Pierre Boulez";"Stéphane Mallarmé"
"Pierre Gassen";"L"
"Robert Wy";"William S. B"
"Rosalind H";"Philippa F"
"Sewall W";"Alfred North W"
"Stuart Hall (cultural theorist)";"Antonio Gram"
"Umberto S";"Giacomo L"
"William Stanley Jevon";"George Bool"
"Yukio Mishim";"Thomas Mann"
"Bonaven";"Plotin"
"Flannery O'Conn";"William Faulkn"
"Imre Kertész";"Tadeusz Borowsk"
"Jerry Seinfel";"Lenny B"
"Pierre B";"Émile Durkheim"
"Willem Hendrik Keesom";"Heike Kamerlingh Onn"
"Annette B";"Wilfrid Sell"
"Giovanni Pascol";"Giacomo L"
"Herbert Feigl";"Moritz Schlick"
"Knut Wicksell";"Léon Wal"
"Matt Cohen (writer)";"George Grant (philosopher)"
"Michael Palmer (poet)";"Stéphane Mallarmé"
"Paul Churchlan";"Wilfrid Sell"
"Thomas Aquin";"Av"
"Yves Con";"Jacques Maritain"
"Andy Clark";"Rodney Brook"
"Claude Lévi-S";"Émile Durkheim"
"Edward S";"Antonio Gram"
"Nader El-Biz";"Martin H"
"Thomas Kuhn";"Rudolf Carn"
"Wolfgang Sm";"Alfred North W"
"Christian Norberg-Schulz";"Martin H"
"Claude Royet-Journ";"Stéphane Mallarmé"
"Gustav Cassel";"Léon Wal"
"Ludwik Rydy";"Jan Mikulicz-Radeck"
"Wilfred Eade A";"Alfred North W"
"Post-left anarchy";"Bob Black"
"Mario Kopić";"Martin H"
"Uri Gordon";"Bob Black"
"John P. B";"Saul Kripk"
"Abraham Lincoln";"Thomas Pain"
"Adam Sm";"François Quesnay"
"A";"Iambl"
"Albert Cam";"Giacomo L"
"Albert Einstein";"Moritz Schlick"
"Aldous Huxley";"Thomas Henry Huxley"
"Aldous Huxley";"William Blak"
"Aldous Huxley";"Yevgeny Zamyatin"
"Alfred Russel Wall";"Thomas Robert Mal"
"Allen Gin";"William Carlos William"
"Allen Gin";"William S. B"
"Anaximan";"Thal"
"Anaximenes of Mil";"Thal"
"Apul";"Ov"
"Arthur Schopen";"Giacomo L"
"Arthur Schopen";"Plotin"
"Arthur Schopen";"Thomas R"
"Augustine of H";"Plotin"
"Avicenn";"Plotin"
"B. F. Skinn";"Alfred North W"
"Benjamin Franklin";"François Quesnay"
"Bertrand Russell";"Alfred North W"
"Bertrand Russell";"Gottlob F"
"Bertrand Russell";"Thomas Pain"
"Bertrand Russell";"Richard McKeon"
"Blaise Pascal";"Michel de Montaign"
"Charles Baudel";"Ov"
"Charles Sanders P";"George Bool"
"Charles Sanders P";"Thomas R"
"Charlotte Brontë";"William Makepeace Thackeray"
"Christopher Marlow";"Ov"
"C";"L"
"Claude Debussy";"Stéphane Mallarmé"
"Claude Mon";"Stéphane Mallarmé"
"Claude Shannon";"George Bool"
"Clive Bark";"William Blak"
"Clive Bark";"William S. B"
"Daniel Denn";"Willard Van Orman Quin"
"Daniel Denn";"Wilfrid Sell"
"Dante Al";"Ov"
"Dante Al";"Virgil"
"David Bow";"William S. B"
"David Cronen";"Vladimir Nabokov"
"David Cronen";"William S. B"
"Denis Leary";"Lenny B"
"Douglas Engel";"Vannevar B"
"Edmund Husserl";"Gottlob F"
"Emil Kraepelin";"Wilhelm Wun"
"Enrico Ferm";"Otto Hahn"
"Eric Hoff";"Michel de Montaign"
"Friedrich Nietz";"Giacomo L"
"Friedrich Nietz";"Michel de Montaign"
"Frédéric B";"Jean-Baptiste Say"
"Geoffrey C";"Ov"
"George L";"Leigh Brack"
"George Orwell";"William Makepeace Thackeray"
"George Orwell";"Yevgeny Zamyatin"
"George R. R. Martin";"Roger Zelazny"
"Gilles Deleuz";"L"
"Gilles Deleuz";"Jean Hyppol"
"Giuseppe Pean";"Gottlob F"
"Glenn T. S";"Otto Hahn"
"Gottfried Wilhelm Leibniz";"Christiaan Huygen"
"H. G. Well";"Thomas Henry Huxley"
"Hans-Georg Gadam";"Martin H"
"Harlan Ellison";"Roger Zelazny"
"Harlan Ellison";"Theodore Sturgeon"
"Henri Bergson";"Plotin"
"Henri Bergson";"Émile Durkheim"
"Henrik Ibsen";"August Strin"
"Hunter S. Thompson";"William S. B"
"Iain Bank";"M. John Harrison"
"Isaac Newton";"Christiaan Huygen"
"Isaac Newton";"Robert Boyl"
"Isaac Newton";"Henry Briggs (mathematician)"
"J. G. Ball";"William S. B"
"J. K. Rowlin";"Lloyd Alexan"
"J. K. Rowlin";"T. H. W"
"Jack K";"William S. B"
"James Tobin";"John Maynard Keyn"
"Jean-Jacques R";"Michel de Montaign"
"Jean-Paul S";"Martin H"
"Jello Biaf";"Abbie Hoffman"
"Jim Jarm";"William Blak"
"John Bel";"Lenny B"
"John Irvin";"Thomas Williams (writer)"
"John K";"Virgil"
"John Milton";"Ov"
"John Milton";"Virgil"
"John N";"Henry Briggs (mathematician)"
"John Stuart Mill";"Jeremy Bentham"
"John Stuart Mill";"Wilhelm von Humbol"
"John Updik";"Vladimir Nabokov"
"Jorge Luis B";"Virgil"
"Joseph Con";"Ford Madox F"
"Joseph Schum";"Léon Wal"
"Jürgen Haberm";"Theodor W. Adorn"
"Karl Marx";"L"
"Karlheinz Stockhausen";"Theodor W. Adorn"
"Kathy Ack";"William S. B"
"Ken Kesey";"William S. B"
"Knut Hamsun";"August Strin"
"Kurt Cobain";"William S. B"
"Kurt Gödel";"Rudolf Carn"
"Kurt Gödel";"Moritz Schlick"
"Kurt Vonn";"Theodore Sturgeon"
"Ludovico A";"Virgil"
"Ludwig Wittgenstein";"Gottlob F"
"Ludwig Wittgenstein";"Hermann von Helmholtz"
"Ludwig Wittgenstein";"Piero Sraff"
"Maimon";"Av"
"Marina Tsvetaev";"Maximilian Voloshin"
"Marshall McLuhan";"Richard McKeon"
"Mary Wollstonecraf";"Thomas Pain"
"Maurice Merleau-Ponty";"Alfred North W"
"Maurice Merleau-Ponty";"Martin H"
"Max Horkheim";"Theodor W. Adorn"
"Michael Moorcock";"Leigh Brack"
"Michael Moorcock";"T. H. W"
"Milton Friedman";"Henry Calvert Simon"
"Mortimer J. Adl";"Jacques Maritain"
"Naomi Wolf";"Abbie Hoffman"
"Neil Gaiman";"R. A. Lafferty"
"Neil Gaiman";"Roger Zelazny"
"Neil Gaiman";"T. H. W"
"Noam Chomsky";"Wilhelm von Humbol"
"Patti Sm";"William S. B"
"Paul A";"Stéphane Mallarmé"
"Paul Valéry";"Stéphane Mallarmé"
"Paul W";"Harry Enfiel"
"Peter Cook";"Lenny B"
"P";"Ov"
"Piers Anthony";"Lloyd Alexan"
"Poul Anderson";"L. Sprague de Cam"
"Procl";"Plotin"
"Procl";"Iambl"
"Py";"Thal"
"Ralph Waldo Emerson";"Michel de Montaign"
"Ray Bradbury";"Leigh Brack"
"Ray Bradbury";"Theodore Sturgeon"
"Ray Bradbury";"Yevgeny Zamyatin"
"René D";"Michel de Montaign"
"Robert F";"Thomas Hardy"
"Robert M. P";"Richard McKeon"
"Samuel Beck";"Giacomo L"
"Sigmund F";"Sándor Ferencz"
"Stanley Kubrick";"Vladimir Nabokov"
"Stephen Kin";"William Goldin"
"Adolf Meyer (psychiatrist)";"Auguste Forel"
"Anne Sexton";"John Berryman"
"Anthony Kenny";"Elizabeth Anscom"
"August Schl";"Wilhelm von Humbol"
"Auguste Com";"Jean-Baptiste Say"
"Boetius of D";"Av"
"David Hartley (philosopher)";"Thomas R"
"Galileo Galil";"Nicole Oresm"
"George Stigl";"Henry Calvert Simon"
"Gus Van San";"William S. B"
"Herbert M";"Martin H"
"Herbert M";"Theodor W. Adorn"
"Ilya Prigogin";"Alfred North W"
"James Gregory (mathematician)";"Henry Briggs (mathematician)"
"Leonid Pasternak";"Mikhail Vrubel"
"Luis Buñuel";"André Breton"
"Manuel Belgran";"François Quesnay"
"Michael Cunningham";"Virginia Woolf"
"Philip Abelson";"Otto Hahn"
"Pierre Bayl";"Strato of Lam"
"Ruth Millikan";"Wilfrid Sell"
"William Godwin";"Thomas Pain"
"Étienne Bal";"Jean Hyppol"
"Hyman Minsky";"John Maynard Keyn"
"Hyman Minsky";"Henry Calvert Simon"
"Chantal Mouff";"Antonio Gram"
"David Drak";"L. Sprague de Cam"
"Georgy Flyorov";"Otto Hahn"
"Gershom Scholem";"Gottlob F"
"Kathy Burk";"Harry Enfiel"
"Orhan Pamuk";"Thomas Mann"
"Paul Rabinow";"Richard McKeon"
"Samuel R. Delany";"Roger Zelazny"
"Ulrich Horstmann";"Philipp Mainlän"
"Zadie Sm";"Salman R"
"Zadie Sm";"Vladimir Nabokov"
"Hans Hunzik";"Auguste Forel"
"Jakob von Uexküll";"Johannes Peter Müll"
"Jules Vuillemin";"Alfred North W"
"Keith DeR";"Thomas R"
"Louis Lavell";"Léon Brunschv"
"Cardis Cardell Will";"Lenny B"
"Ferdinand S";"Jan Mikulicz-Radeck"
"Nicos Poulantz";"Antonio Gram"
"Sulamith Wülfin";"John Bauer (illustrator)"
"Dušan Pirjev";"Martin H"
"Hermann Grapow";"Pahor L"
"Ralph Kron";"Wolfgang Paul"
"Michael H";"Antonio N"
"Rudolf Bultmann";"Martin H"
"John B. C";"Charles Hartshorn"
"Abraham S";"John Flam"
"Anthony Down";"Kenneth Arrow"
"Bas van Fraassen";"Wilfrid Sell"
"Carlo Cignan";"Francesco Alban"
"David G";"Bob Black"
"Dennis C";"William S. B"
"Gilbert Harman";"Willard Van Orman Quin"
"Gordon Tullock";"Henry Calvert Simon"
"Hedwig Gorsk";"Jerzy Grotowsk"
"Hedwig Gorsk";"Wisława Szymborsk"
"Henry Ludwell M";"Léon Wal"
"Peter Voulk";"Frances Sensk"
"Roland G. Fryer, J";"Gary Beck"
"Wolfi Lan";"André Breton"
"Walther K";"Jan Mikulicz-Radeck"
"Alexander Potebnj";"Wilhelm von Humbol"
"Joxe Azurmen";"Wilhelm von Humbol"
"P. A. V. B. Swamy";"Arthur Gol"
"Philip Larkin";"Thomas Hardy"
"George David Birkhoff";"Henri Poincaré"
"J. Hoberman";"Andrew S"
"John Worrall (philosopher)";"Imre Lak"
"August Mack";"Wilhelm B"
"Benito Mussolin";"Giuseppe Mazzin"
"Bruno L";"Peter Sloterdijk"
"Cory Doctorow";"William Gibson"
"Gabriel Marcel";"Martin H"
"Gayatri Chakravorty Spivak";"Jacques D"
"Jean-Luc Nancy";"Martin H"
"John Pell";"Henry Briggs (mathematician)"
"Reinhard S";"August Strin"
"Rudolph Dirk";"Wilhelm B"
"Stephen Greenbl";"L"
"Néstor García Canclin";"Antonio Gram"
"Youp van 't Hek";"Wim Kan"
"Erez Ben–A";"Sarah Silverman"
"Harvey J. Levin";"William Vickrey"
"Axel Leijonhufv";"John Maynard Keyn"
"Axel Leijonhufv";"Léon Wal"
"Charles Scott Sherrington";"Johannes Peter Müll"
"Guram Dochanashvil";"William Faulkn"
"Maurice Halbw";"Émile Durkheim"
"Piero G";"Antonio Gram"
"Vincenzo Cardarell";"Giacomo L"
"Gala Galaction";"Tudor Arghez"
"Ida Kohlmey";"John McCrady"
"William L. Row";"Thomas R"
"João de Lem";"Camilo Castelo Bran"
"Henry David T";"Virgil"
