"influences";"influenced"
"Luciano Fl";"Susan Haack"
"L";"Dem"
"Ludwig E";"Alexander Rüstow"
"Ludwig Wittgenstein";"Gottlob F"
"Lynn Margul";"Konstantin Mereschkowsk"
"Léon Brunschv";"Blaise Pascal"
"Léon Brunschv";"Charles Renouv"
"Maimon";"Al-F"
"Makoto I";"Kozo Un"
"Caroline Furness Jayn";"Alfred Cort Haddon"
"Ubaidullah Sin";"Shah Abdul Aziz"
"Uri Gordon (anarchist)";"Bob Black"
"Valentin Serov";"Konstantin Makovsky"
"Paul Boghossian";"Paul Benacerraf"
"Gilbert Ryl";"Ludwig Wittgenstein"
"Mulla S";"Al-F"
"Paul Rosenstein-Rodan";"Ragnar Nurk"
"Hanah Margal";"Charles DeL"
"Bob Black";"Charles F"
"Brad Hook";"Derek Parf"
"Braj Kumar N";"Vera Anstey"
"Deirdre McCloskey";"Alexander Gerschenkron"
"Denis D";"Guillaume-François Rouell"
"Dimitrije Ljotić";"Charles M"
"Dmitrii Menshov";"Aleksander Rajchman"
"Don Lav";"Ludwig Lachmann"
"Donald Davidson (philosopher)";"Alfred North W"
"Donald Davidson (philosopher)";"Alfred Tarsk"
"Gonzalo Vial C";"Alberto Edw"
"Gottfried Wilhelm Leibniz";"Blaise Pascal"
"Gottlob F";"Gottfried Wilhelm Leibniz"
"Graham P";"Alexius Meinon"
"Grigory Margul";"Alexander Oppenheim"
"Guillaume Fay";"Alain de Ben"
"Knut Wicksell";"Léon Wal"
"Konstantin Korovin";"Alexei Savrasov"
"Konstantin Yuon";"Valentin Serov"
"Procl";"Iambl"
"Pyotr Konchalovsky";"Vasily Surikov"
"Py";"Dem"
"R. D. Lain";"Gregory Bateson"
"R. M. H";"Gilbert Ryl"
"R. Tyrrell Rockafell";"Albert W. Tuck"
"Rachel Carson";"Lucille Farrier Stickel"
"Ragnar Gran";"Charles Scott Sherrington"
"Elizabeth Grosz";"Luce Irigaray"
"Elizabeth Grosz";"Alphonso Lin"
"Ernest Hell";"John of Ruusbroec  John of Ruusbroec  1"
"Huw Dixon";"Don Patinkin"
"Alain Tourain";"Charles Taylor (philosopher)"
"Alan Key";"Allan Bloom"
"Alan Turin";"Ludwig Wittgenstein"
"Alasdair MacInty";"R. G. Collingw"
"Albertus Magn";"Maimon"
"Albertus Magn";"Al-F"
"Aldous Huxley";"Alan W"
"Aleksandr Dugin";"Alain de Ben"
"Alexander Graham Bell";"Charles Grafton P"
"Alexandre Kojèv";"Alexandre Koyré"
"Alexandre Koyré";"Léon Brunschv"
"Alexis de Tocquevill";"Blaise Pascal"
"Alfred H. Con";"Alexander Gerschenkron"
"Alfred Marshall";"Léon Wal"
"Alfred Russel Wall";"Alexander von Humbol"
"Alfred Russel Wall";"Charles Lyell"
"Alfred Tarsk";"Gottfried Wilhelm Leibniz"
"Alice Crary";"Ludwig Wittgenstein"
"Alice von Hildebran";"Dietrich von Hildebran"
"Allan Bloom";"Alexandre Kojèv"
"Allen Gin";"Alan W"
"Ch'ien M";"Lü Simian"
"Charak";"Dinesh Kumar Man"
"Charles A. Doswell III";"Alan Moll"
"Charles Darwin";"L"
"Charles Darwin";"Ludwig F"
"Charles Darwin";"Alexander Herzen"
"Charles Darwin";"Alexander von Humbol"
"Charles Darwin";"Charles Lyell"
"Charles Sanders P";"Gottfried Wilhelm Leibniz"
"Charles Sanders P";"Alexander Bain"
"Charles Sanders P";"Alfred Kem"
"Charles S";"Charles Emerson B"
"Charles de Gaull";"Charles M"
"Che Guev";"Alexander Herzen"
"Niklas Luhmann";"Gregory Bateson"
"Nikolai Vavilov";"Alphonse Pyramus de Candoll"
"Nikolas Kom";"Charles Taylor (philosopher)"
"Nikolay Chernyshevsky";"Charles F"
"Norbert Wien";"Gottfried Wilhelm Leibniz"
"Norman Malcolm";"Ludwig Wittgenstein"
"Gabriel Naudé";"Cesare Cremonini (philosopher)"
"William J. R";"Alexius Meinon"
"He Jifen";"Dines Bjørn"
"Heinz von F";"Gregory Bateson"
"Terence Parson";"Alexius Meinon"
"Av";"Al-F"
"Axel Honn";"Charles Taylor (philosopher)"
"B. F. Skinn";"Alfred North W"
"Baron d'Hol";"Denis D"
"Barry Domvil";"Léon de Poncin"
"Baruch Spinoz";"L"
"Baruch Spinoz";"Maimon"
"Baruch Spinoz";"Dem"
"Loren M";"R. D. Lain"
"Louis Al";"Alexandre Kojèv"
"Louis Lavell";"Léon Brunschv"
"Louis Lavell";"Maine de Biran"
"Thomas Hurk";"Derek Parf"
"Canal";"Luca Carlevarij"
"Carl Friedrich G";"Gottfried Wilhelm Leibniz"
"Carl Linn";"Domenico Cirill"
"Carmen Rein";"Guillermo Calv"
"Casimir de Candoll";"Alphonse Pyramus de Candoll"
"Christian Wolff (philosopher)";"Gottfried Wilhelm Leibniz"
"Christopher G. Atkeson";"John M. Holl"
"C";"L"
"Claude Lévi-S";"Alfred Radcliffe-Brown"
"Claude Mon";"Charles-François Daubigny"
"Cliff Jones (computer scientist)";"Dines Bjørn"
"Clifford Geertz";"Gilbert Ryl"
"Colin McCahon";"Charles Cotton (geologist)"
