Date,Distance,Time
8/2/15,1.7,
8/3/15,1.4,
8/4/15,2.1,
8/6/15,2.38,
8/7/15,2.3,
8/8/15,3.4,
8/9/15,2.5,
8/10/15,3.36,0:28:37
8/11/15,1.67,0:13:07
8/12/15,1.42,0:10:35
8/13/15,2.35,0:17:25
8/14/15,0.9,0:06:16
8/14/15,0.9,0:06:16
8/15/15,1.78,
8/16/15,0.65,
8/17/15,1.34,
8/18/15,0.65,
8/19/15,1.37,
8/19/15,1.37,
8/20/15,1.37,0:09:33
8/21/15,1.37,0:09:24
8/22/15,1.37,0:09:05
8/23/15,1.34,
8/24/15,3,
8/25/15,1.37,0:08:55
8/25/15,1.34,
8/26/15,1.37,0:10:30
8/27/15,2.5,0:25:00
8/29/15,5,0:43:27
9/2/15,2,
9/4/15,3.05,
9/5/15,3.05,0:23:50
9/8/15,3.05,0:23:11
9/10/15,1.37,0:08:57
9/12/15,3.05,0:23:46
9/16/15,3.05,0:22:48
9/17/15,1.5,0:11:06
9/19/15,1.37,0:09:45
9/21/15,4.03,0:30:22
9/28/15,1.5,0:11:18
9/28/15,1.5,0:11:18
9/29/15,3.05,0:21:55
10/4/15,4.63,0:40:00
10/4/15,1.87,
10/4/15,4.08,0:33:00
10/12/15,3.05,0:22:37
10/14/15,1.37,0:09:05
10/18/15,1.5,0:09:40
10/18/15,1.5,
10/18/15,1.37,
10/20/15,1.37,0:08:36
10/25/15,2,
10/31/15,2.01,
11/2/15,1.37,0:08:43
11/3/15,5.3,0:39:26
11/4/15,3.05,0:22:12
11/7/15,5.63,0:49:05
11/7/15,1.26,
11/7/15,1.2,
11/9/15,3.05,0:22:36
11/10/15,1.5,0:09:00
11/10/15,1.5,0:11:33
11/10/15,4,
11/23/15,3.05,0:22:35
11/27/15,1,
11/28/15,3,
12/9/15,2.93,0:25:00
12/12/15,1.37,0:09:15
12/13/15,5.3,0:43:36
12/13/15,2.21,0:18:59
12/15/15,6.5,0:58:43
12/17/15,12,1:39:00
12/19/15,3.1,0:26:15
12/20/15,14.8,2:15:00
12/22/15,3.1,0:28:00
12/23/15,5.63,0:51:50
12/24/15,3.05,0:25:08
12/25/15,14.8,2:20:00
12/26/15,5.2,
12/30/15,3.15,0:22:10
1/1/16,26.2,4:20:43
