animal,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
aardvark,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
antelope,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
bass,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
bear,True,False,False,True,False,False,True,True,True,True,False,False,4,False,False,True,mammal
boar,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
buffalo,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
calf,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
carp,False,False,True,False,False,True,False,True,True,False,False,True,0,True,True,False,fish
catfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
cavy,True,False,False,True,False,False,False,True,True,True,False,False,4,False,True,False,mammal
cheetah,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
chicken,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
chub,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
clam,False,False,True,False,False,False,True,False,False,False,False,False,0,False,False,False,invertebrate
crab,False,False,True,False,False,True,True,False,False,False,False,False,4,False,False,False,invertebrate
crayfish,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,invertebrate
crow,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,bird
deer,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
dogfish,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,True,fish
dolphin,False,False,False,True,False,True,True,True,True,True,False,True,0,True,False,True,mammal
dove,False,True,True,False,True,False,False,False,True,True,False,False,2,True,True,False,bird
duck,False,True,True,False,True,True,False,False,True,True,False,False,2,True,False,False,bird
elephant,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
flamingo,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,True,bird
flea,False,False,True,False,False,False,False,False,False,True,False,False,6,False,False,False,insect
frog,False,False,True,False,False,True,True,True,True,True,False,False,4,False,False,False,amphibian
frog,False,False,True,False,False,True,True,True,True,True,True,False,4,False,False,False,amphibian
fruitbat,True,False,False,True,True,False,False,True,True,True,False,False,2,True,False,False,mammal
giraffe,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,True,mammal
girl,True,False,False,True,False,False,True,True,True,True,False,False,2,False,True,True,mammal
gnat,False,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
goat,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,True,mammal
gorilla,True,False,False,True,False,False,False,True,True,True,False,False,2,False,False,True,mammal
gull,False,True,True,False,True,True,True,False,True,True,False,False,2,True,False,False,bird
haddock,False,False,True,False,False,True,False,True,True,False,False,True,0,True,False,False,fish
hamster,True,False,False,True,False,False,False,True,True,True,False,False,4,True,True,False,mammal
hare,True,False,False,True,False,False,False,True,True,True,False,False,4,True,False,False,mammal
hawk,False,True,True,False,True,False,True,False,True,True,False,False,2,True,False,False,bird
herring,False,False,True,False,False,True,True,True,True,False,False,True,0,True,False,False,fish
honeybee,True,False,True,False,True,False,False,False,False,True,True,False,6,False,True,False,insect
housefly,True,False,True,False,True,False,False,False,False,True,False,False,6,False,False,False,insect
kiwi,False,True,True,False,False,False,True,False,True,True,False,False,2,True,False,False,bird
ladybird,False,False,True,False,True,False,True,False,False,True,False,False,6,False,False,False,insect
lark,False,True,True,False,True,False,False,False,True,True,False,False,2,True,False,False,bird
leopard,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
lion,True,False,False,True,False,False,True,True,True,True,False,False,4,True,False,True,mammal
lobster,False,False,True,False,False,True,True,False,False,False,False,False,6,False,False,False,invertebrate
