zipcode,type,year,sqft,bath,beds,rooms,price
2140,0,1880,433.0,1.0,1,2,222200.0
2138,1,1847,1461.0,1.5,2,5,433800.0
2139,3,1884,2926.0,3.5,5,11,766800.0
2138,0,1920,963.0,1.0,2,5,443900.0
2138,0,1925,700.0,1.0,1,3,355700.0
2138,0,1914,882.0,1.0,2,4,388100.0
2138,3,1916,6123.0,3.5,9,21,1762800.0
2138,0,1910,532.0,1.0,1,4,275900.0
2140,2,1894,2294.0,3.5,4,9,645800.0
2138,2,1924,2184.0,1.0,2,10,620000.0
2138,1,1925,4341.0,3.0,3,7,2960500.0
2140,1,1894,2409.0,2.5,4,12,1762200.0
2140,1,1894,2508.0,2.5,4,8,1231300.0
2138,1,1956,3947.0,3.0,4,10,1158600.0
2140,1,1899,1458.0,1.5,3,7,551800.0
2138,2,1927,2531.0,2.5,4,10,683900.0
2141,0,1903,920.0,1.0,2,5,345800.0
2138,2,1928,3004.0,4.5,7,16,817400.0
2140,0,1920,925.0,1.0,2,5,393000.0
2138,0,1900,874.0,1.0,1,3,410600.0
2139,0,1987,1440.0,2.5,3,5,522900.0
2139,2,1894,1512.0,2.5,2,6,501400.0
2139,0,1820,1050.0,1.5,2,9,473400.0
2139,2,1873,1724.0,2.5,4,12,598300.0
2139,2,1854,2376.0,2.5,4,10,553800.0
2139,2,1873,2078.0,2.5,4,8,569600.0
2138,2,1909,2931.0,3.5,5,12,951800.0
2139,1,1854,2781.0,3.5,8,12,763500.0
2138,0,1880,840.0,1.0,2,6,363100.0
2140,3,1897,3830.0,3.0,9,15,790500.0
2138,0,1985,1304.0,1.5,2,5,1115300.0
2141,1,1984,1248.0,2.5,3,6,494300.0
2139,0,1996,1243.0,1.5,3,6,295300.0
2138,0,1908,1380.0,1.0,3,7,591900.0
2139,2,1873,2583.0,3.5,4,8,800800.0
2139,2,1854,2774.0,3.5,6,12,723300.0
2139,1,1873,1551.0,1.5,2,5,437500.0
2138,1,2009,4062.0,3.5,4,8,2154000.0
2138,1,1948,1008.0,1.5,3,6,381800.0
2139,0,1903,920.0,1.0,3,8,400300.0
2139,3,1903,4018.0,3.5,7,18,886400.0
2140,0,1998,141.0,1.0,1,2,227500.0
2139,2,1854,2774.0,3.5,6,12,723300.0
2138,0,1900,1174.0,1.5,2,6,495800.0
