Date,Open,High,Low,Close,Volume,Adj Close
2011-07-25,60264.00,60285.00,59640.00,59971.00,1772400,59971.00
2011-07-22,60263.00,60696.00,60077.00,60270.00,1809600,60270.00
2011-07-21,59120.00,60441.00,59120.00,60263.00,2159600,60263.00
2011-07-20,59094.00,59552.00,59045.00,59120.00,1946000,59120.00
2011-07-19,58838.00,59394.00,58677.00,59082.00,1888000,59082.00
2011-07-18,59479.00,59479.00,58631.00,58838.00,1956400,58838.00
2011-07-15,59679.00,60104.00,59180.00,59478.00,1960200,59478.00
2011-07-14,60673.00,60685.00,59452.00,59679.00,2363400,59679.00
2011-07-13,59718.00,60847.00,59718.00,60670.00,2284200,60670.00
2011-07-12,60220.00,60516.00,59705.00,59705.00,1946200,59705.00
2011-07-11,61502.00,61502.00,60098.00,60224.00,1773200,60224.00
2011-07-08,62207.00,62207.00,61366.00,61513.00,1670600,61513.00
2011-07-07,62573.00,63206.00,62207.00,62207.00,1865000,62207.00
2011-07-06,63039.00,63039.00,62391.00,62565.00,1612600,62565.00
2011-07-05,63886.00,63886.00,63030.00,63039.00,1937800,63039.00
2011-07-04,63397.00,63891.00,63314.00,63891.00,1000400,63891.00
2011-07-01,62404.00,63455.00,62148.00,63394.00,2376200,63394.00
2011-06-30,62337.00,62574.00,61959.00,62404.00,1814000,62404.00
2011-06-29,62303.00,62625.00,62033.00,62334.00,1873400,62334.00
2011-06-28,61216.00,62309.00,61216.00,62303.00,1796400,62303.00
2011-06-27,61017.00,61456.00,60772.00,61217.00,1634000,61217.00
2011-06-24,61192.00,61459.00,60921.00,61017.00,1449000,61017.00
2011-06-22,61420.00,61859.00,61194.00,61194.00,1863400,61194.00
2011-06-21,61188.00,61543.00,61179.00,61424.00,1696600,61424.00
2011-06-20,61059.00,61571.00,60784.00,61168.00,2019800,61168.00
2011-06-17,60883.00,61268.00,60566.00,61060.00,1974600,61060.00
2011-06-16,61602.00,62040.00,60489.00,60881.00,1991000,60881.00
2011-06-15,62198.00,62198.00,61448.00,61604.00,2668000,61604.00
2011-06-14,62023.00,62697.00,62023.00,62205.00,1762400,62205.00
2011-06-13,62701.00,62968.00,62022.00,62023.00,1397200,62023.00
2011-06-10,63470.00,63478.00,62495.00,62697.00,1688200,62697.00
2011-06-09,63037.00,63773.00,62872.00,63469.00,1946800,63469.00
2011-06-08,63204.00,63354.00,62709.00,63033.00,1805800,63033.00
2011-06-07,63072.00,63784.00,63072.00,63218.00,2089600,63218.00
2011-06-06,64341.00,64512.00,62960.00,63068.00,1822400,63068.00
2011-06-03,64216.00,64979.00,63628.00,64341.00,2155800,64341.00
2011-06-02,63411.00,64218.00,63277.00,64218.00,2135600,64218.00
2011-06-01,64616.00,64674.00,63401.00,63411.00,2158200,63411.00
2011-05-31,63961.00,64620.00,63932.00,64620.00,2428400,64620.00
2011-05-30,64295.00,64460.00,63915.00,63954.00,629000,63954.00
2011-05-27,64101.00,64548.00,64092.00,64295.00,1672000,64295.00
2011-05-26,63389.00,64121.00,63232.00,64099.00,2397000,64099.00
2011-05-25,63329.00,63857.00,63025.00,63388.00,1918600,63388.00
2011-05-24,62350.00,63415.00,62350.00,63337.00,2006400,63337.00
2011-05-23,62597.00,62597.00,61659.00,62345.00,1767600,62345.00
2011-05-20,62370.00,63043.00,62086.00,62597.00,2087000,62597.00
2011-05-19,62844.00,63607.00,62225.00,62367.00,2291200,62367.00
2011-05-18,63675.00,64015.00,62830.00,62841.00,2488000,62841.00
2011-05-17,62830.00,63680.00,62414.00,63673.00,2210800,63673.00
2011-05-16,63233.00,63829.00,62676.00,62830.00,2459600,62830.00
2011-05-13,64003.00,64165.00,63063.00,63235.00,2667400,63235.00
2011-05-12,63772.00,64329.00,63125.00,64003.00,2486800,64003.00
2011-05-11,64877.00,64877.00,63622.00,63776.00,2458400,63776.00
2011-05-10,64622.00,65143.00,64619.00,64877.00,1982600,64877.00
2011-05-09,64416.00,64782.00,64150.00,64622.00,1880800,64622.00
2011-05-06,63422.00,64704.00,63422.00,64417.00,2690000,64417.00
2011-05-05,63609.00,64268.00,62973.00,63407.00,2806000,63407.00
2011-05-04,64320.00,64807.00,63548.00,63616.00,2490000,63616.00
2011-05-03,65458.00,65468.00,64244.00,64318.00,2235400,64318.00
2011-05-02,66119.00,66500.00,65346.00,65463.00,2306800,65463.00
2011-04-29,65664.00,66294.00,65461.00,66133.00,2645000,66133.00
2011-04-28,66249.00,66249.00,65105.00,65673.00,3090000,65673.00
2011-04-27,67143.00,67228.00,65885.00,66264.00,2151200,66264.00
2011-04-26,66972.00,67413.00,66722.00,67144.00,1726600,67144.00
2011-04-25,67058.00,67124.00,66552.00,66972.00,1385800,66972.00
2011-04-20,66165.00,67077.00,66165.00,67058.00,2397400,67058.00
2011-04-19,65417.00,66257.00,65417.00,66158.00,2214400,66158.00
2011-04-18,66689.00,66706.00,65158.00,65415.00,3060400,65415.00
2011-04-15,66281.00,66765.00,65832.00,66684.00,2145800,66684.00
2011-04-14,66483.00,67042.00,66090.00,66279.00,2259000,66279.00
2011-04-13,66909.00,67411.00,66251.00,66486.00,2515200,66486.00
2011-04-12,68153.00,68153.00,66721.00,66896.00,2525800,66896.00
2011-04-11,68719.00,69177.00,68029.00,68164.00,2173800,68164.00
2011-04-08,69180.00,69430.00,68472.00,68718.00,2111400,68718.00
2011-04-07,69040.00,69334.00,68695.00,69176.00,000,69176.00
2011-04-06,69841.00,70108.00,68954.00,69037.00,000,69037.00
2011-04-05,69704.00,70047.00,69465.00,69838.00,000,69838.00
2011-04-04,69270.00,69787.00,69270.00,69704.00,1200,69704.00
2011-04-01,68588.00,69387.00,68588.00,69268.00,2397400,69268.00
2011-03-31,68000.00,68606.00,68000.00,68587.00,2124400,68587.00
2011-03-30,67423.00,68004.00,67423.00,67997.00,1859800,67997.00
2011-03-29,67194.00,67862.00,67046.00,67419.00,1768200,67419.00
2011-03-28,67767.00,68070.00,67193.00,67193.00,1444400,67193.00
2011-03-25,67528.00,68256.00,67497.00,67766.00,2223800,67766.00
2011-03-24,67799.00,68009.00,67406.00,67533.00,1819800,67533.00
2011-03-23,67570.00,67918.00,67317.00,67796.00,2145600,67796.00
2011-03-22,66684.00,67631.00,66531.00,67578.00,2357800,67578.00
2011-03-21,66887.00,67676.00,66656.00,66690.00,2557400,66690.00
2011-03-18,66217.00,67384.00,66217.00,66880.00,2842800,66880.00
2011-03-17,66017.00,66950.00,66015.00,66216.00,1985000,66216.00
2011-03-16,67011.00,67502.00,65663.00,66003.00,3056800,66003.00
2011-03-15,67168.00,67168.00,65463.00,67005.00,2852200,67005.00
2011-03-14,66684.00,67333.00,66088.00,67169.00,1874200,67169.00
2011-03-11,66041.00,67014.00,65559.00,66685.00,2491000,66685.00
2011-03-10,67256.00,67256.00,65854.00,66041.00,2375000,66041.00
2011-03-09,68010.00,68057.00,67109.00,67264.00,1407600,67264.00
2011-03-04,68138.00,68220.00,67514.00,68012.00,1840000,68012.00
2011-03-03,67284.00,68188.00,67284.00,68146.00,2254600,68146.00
2011-03-02,66242.00,67282.00,66101.00,67282.00,2518600,67282.00
2011-03-01,67381.00,67708.00,66243.00,66243.00,2166400,66243.00
2011-02-28,66909.00,67458.00,66687.00,67383.00,2640400,67383.00
2011-02-25,66952.00,67632.00,66331.00,66903.00,2394600,66903.00
2011-02-24,66909.00,67344.00,66693.00,66949.00,2699200,66949.00
2011-02-23,66440.00,67266.00,66049.00,66910.00,3335000,66910.00
2011-02-22,67255.00,67570.00,66342.00,66440.00,3045400,66440.00
2011-02-21,68067.00,68067.00,67085.00,67259.00,1453000,67259.00
2011-02-18,67685.00,68226.00,67386.00,68067.00,1944000,68067.00
2011-02-17,67580.00,67876.00,67107.00,67685.00,2147800,67685.00
2011-02-16,66342.00,67793.00,66342.00,67571.00,2672400,67571.00
2011-02-15,66558.00,66861.00,66117.00,66341.00,2355400,66341.00
2011-02-14,65751.00,66743.00,65462.00,66558.00,1945000,66558.00
2011-02-11,64582.00,65890.00,64562.00,65756.00,2396400,65756.00
2011-02-10,64217.00,65106.00,64185.00,64578.00,2356400,64578.00
2011-02-09,65767.00,65767.00,64016.00,64218.00,2811400,64218.00
2011-02-08,65359.00,66238.00,65110.00,65771.00,2764000,65771.00
2011-02-07,65272.00,65893.00,64916.00,65362.00,1980400,65362.00
2011-02-04,66752.00,66946.00,65160.00,65269.00,2676800,65269.00
2011-02-03,66688.00,66849.00,66091.00,66765.00,2380800,66765.00
2011-02-02,67844.00,68012.00,66643.00,66688.00,2551400,66688.00
2011-02-01,66575.00,67922.00,66575.00,67847.00,2114000,67847.00
2011-01-31,66697.00,67166.00,66271.00,66575.00,2253800,66575.00
2011-01-28,68051.00,68182.00,65898.00,66698.00,2544000,66698.00
2011-01-27,68717.00,69108.00,67775.00,68051.00,2304400,68051.00
2011-01-26,69427.00,69556.00,68515.00,68709.00,2542400,68709.00
2011-01-24,69134.00,69513.00,68786.00,69427.00,1474400,69427.00
2011-01-21,69560.00,70027.00,69095.00,69133.00,2071800,69133.00
2011-01-20,70056.00,70083.00,69177.00,69562.00,2169600,69562.00
2011-01-19,70921.00,71190.00,69966.00,70058.00,1884800,70058.00
2011-01-18,70612.00,71094.00,70612.00,70920.00,1877400,70920.00
2011-01-17,70940.00,70940.00,70544.00,70609.00,1538600,70609.00
2011-01-14,70723.00,71184.00,70397.00,70940.00,1806600,70940.00
2011-01-13,71631.00,71924.00,70719.00,70721.00,2237800,70721.00
2011-01-12,70429.00,71633.00,70429.00,71633.00,2516000,71633.00
2011-01-11,70146.00,70647.00,70145.00,70423.00,2138000,70423.00
2011-01-10,70056.00,70133.00,69666.00,70127.00,1610800,70127.00
2011-01-07,70580.00,70783.00,69718.00,70057.00,1761000,70057.00
2011-01-06,71093.00,71167.00,70469.00,70579.00,2546000,70579.00
2011-01-05,70311.00,71173.00,69802.00,71091.00,2309200,71091.00
2011-01-04,69962.00,70318.00,69560.00,70318.00,2427200,70318.00
2011-01-03,69310.00,70471.00,69305.00,69962.00,1862400,69962.00
2010-12-30,68953.00,69527.00,68940.00,69305.00,2102200,69305.00
2010-12-29,68043.00,69040.00,68043.00,68952.00,1307800,68952.00
2010-12-28,67810.00,68104.00,67810.00,68041.00,000,68041.00
2010-12-27,68476.00,68476.00,67803.00,67803.00,1035400,67803.00
2010-12-23,68470.00,68562.00,68250.00,68486.00,1229400,68486.00
2010-12-22,68218.00,68472.00,67727.00,68471.00,1656800,68471.00
2010-12-21,67261.00,68461.00,67261.00,68215.00,1897400,68215.00
2010-12-20,67979.00,68196.00,67264.00,67264.00,2352800,67264.00
2010-12-17,67304.00,67981.00,66948.00,67981.00,000,67981.00
2010-12-16,67875.00,68377.00,67138.00,67306.00,2401400,67306.00
2010-12-15,68741.00,68741.00,67711.00,67870.00,2962400,67870.00
2010-12-14,69127.00,69127.00,68531.00,68743.00,000,68743.00
2010-12-13,68342.00,69221.00,68342.00,69126.00,000,69126.00
2010-12-10,67889.00,68514.00,67866.00,68342.00,000,68342.00
2010-12-09,68173.00,68561.00,67563.00,67879.00,2447200,67879.00
2010-12-08,69338.00,69354.00,68046.00,68175.00,2671600,68175.00
2010-12-07,69563.00,70589.00,69338.00,69338.00,000,69338.00
2010-12-06,69759.00,69932.00,69378.00,69552.00,000,69552.00
2010-12-03,69529.00,69963.00,68943.00,69766.00,2828000,69766.00
2010-12-02,69341.00,69943.00,69219.00,69527.00,2111800,69527.00
2010-12-01,67731.00,69605.00,67731.00,69346.00,000,69346.00
2010-11-30,67901.00,68476.00,67271.00,67705.00,2159200,67705.00
2010-11-29,68218.00,68422.00,67103.00,67908.00,1777800,67908.00
2010-11-26,69349.00,69349.00,68219.00,68226.00,1564800,68226.00
2010-11-25,69634.00,69780.00,69362.00,69362.00,981600,69362.00
2010-11-24,67955.00,69746.00,67955.00,69629.00,1990600,69629.00
2010-11-23,69629.00,69629.00,67728.00,67953.00,2080600,67953.00
2010-11-22,70898.00,70898.00,69202.00,69633.00,1739200,69633.00
2010-11-19,70774.00,70898.00,70236.00,70898.00,1506400,70898.00
2010-11-18,69716.00,70904.00,69716.00,70781.00,1881600,70781.00
2010-11-17,69189.00,70080.00,69187.00,69709.00,000,69709.00
2010-11-16,70364.00,70364.00,68662.00,69192.00,2240800,69192.00
2010-11-12,71191.00,71191.00,70004.00,70367.00,1188600,70367.00
2010-11-11,71639.00,71639.00,70941.00,71195.00,1353200,71195.00
2010-11-10,71674.00,71854.00,70868.00,71638.00,000,71638.00
2010-11-09,72654.00,73045.00,71651.00,71679.00,1505000,71679.00
2010-11-08,72607.00,72875.00,72336.00,72657.00,1077600,72657.00
2010-11-05,72987.00,72987.00,72534.00,72607.00,1732000,72607.00
2010-11-04,71910.00,73103.00,71910.00,72996.00,2175800,72996.00
2010-11-03,71560.00,72110.00,71510.00,71905.00,2145800,71905.00
2010-11-01,70686.00,71751.00,70673.00,71561.00,1555000,71561.00
2010-10-29,70322.00,70776.00,70322.00,70673.00,2208800,70673.00
2010-10-28,70573.00,71263.00,70234.00,70320.00,2230200,70320.00
2010-10-27,70735.00,70844.00,70059.00,70569.00,2202600,70569.00
2010-10-26,69582.00,70834.00,69055.00,70740.00,2576800,70740.00
2010-10-25,69536.00,70231.00,69451.00,69580.00,3836000,69580.00
2010-10-22,69658.00,70312.00,68847.00,69530.00,2421600,69530.00
2010-10-21,70406.00,70958.00,68952.00,69652.00,2587800,69652.00
2010-10-20,69863.00,70720.00,69814.00,70405.00,2407200,70405.00
2010-10-19,71735.00,71735.00,69628.00,69864.00,2495200,69864.00
2010-10-18,71830.00,71884.00,71341.00,71736.00,2111600,71736.00
2010-10-15,71699.00,72140.00,71351.00,71830.00,2015200,71830.00
2010-10-14,71676.00,71961.00,71264.00,71692.00,2633000,71692.00
2010-10-13,70950.00,71995.00,70950.00,71675.00,2985000,71675.00
2010-10-11,70810.00,71111.00,70810.00,70946.00,1169000,70946.00
2010-10-08,69921.00,70828.00,69698.00,70809.00,2136000,70809.00
2010-10-07,70545.00,70739.00,69314.00,69918.00,2587200,69918.00
2010-10-06,71284.00,71290.00,70343.00,70541.00,2780600,70541.00
2010-10-05,70390.00,71285.00,70390.00,71283.00,2713000,71283.00
2010-10-04,70230.00,70551.00,70089.00,70385.00,1876800,70385.00
2010-10-01,69438.00,70243.00,69228.00,70229.00,2452600,70229.00
2010-09-30,69230.00,69737.00,68924.00,69430.00,2466200,69430.00
2010-09-29,69225.00,69420.00,68958.00,69228.00,3067200,69228.00
2010-09-28,68817.00,69431.00,68455.00,69228.00,1851800,69228.00
2010-09-27,68197.00,68926.00,68011.00,68816.00,2138600,68816.00
2010-09-24,68800.00,69571.00,68021.00,68196.00,3441000,68196.00
2010-09-23,68321.00,69601.00,67892.00,68794.00,3305200,68794.00
2010-09-22,67711.00,68549.00,67346.00,68325.00,2495200,68325.00
2010-09-21,68189.00,68255.00,67528.00,67719.00,1734000,67719.00
2010-09-20,67087.00,68241.00,67009.00,68190.00,1775200,68190.00
2010-09-17,67665.00,67773.00,66993.00,67089.00,1629400,67089.00
2010-09-16,68103.00,68103.00,67507.00,67663.00,1464400,67663.00
2010-09-15,67690.00,68107.00,67119.00,68107.00,2234200,68107.00
2010-09-14,68030.00,68093.00,67561.00,67692.00,2594000,67692.00
2010-09-13,66807.00,68142.00,66807.00,68031.00,2144400,68031.00
2010-09-10,66622.00,66920.00,66459.00,66807.00,1561000,66807.00
2010-09-09,66411.00,66807.00,66353.00,66624.00,1438800,66624.00
2010-09-08,66739.00,66739.00,66101.00,66407.00,1716000,66407.00
2010-09-06,66679.00,66949.00,66380.00,66747.00,651400,66747.00
2010-09-03,66812.00,67673.00,66541.00,66679.00,2019200,66679.00
2010-09-02,67073.00,67168.00,66405.00,66808.00,1601200,66808.00
2010-09-01,65154.00,67073.00,65154.00,67073.00,2509000,67073.00
2010-08-31,64262.00,65182.00,64202.00,65145.00,3284800,65145.00
2010-08-30,65585.00,65585.00,64255.00,64261.00,1286400,64261.00
2010-08-27,63875.00,65589.00,63848.00,65585.00,1764000,65585.00
2010-08-26,64802.00,65271.00,63804.00,63867.00,1773400,63867.00
2010-08-25,65156.00,65156.00,64164.00,64803.00,1753000,64803.00
2010-08-24,65946.00,65946.00,65013.00,65156.00,1604200,65156.00
2010-08-23,66678.00,67175.00,65982.00,65982.00,1379600,65982.00
2010-08-20,66892.00,66892.00,66337.00,66677.00,1414600,66677.00
2010-08-19,67641.00,67713.00,66824.00,66887.00,1920000,66887.00
2010-08-18,67584.00,67745.00,67006.00,67638.00,2367000,67638.00
2010-08-17,66702.00,67666.00,66702.00,67584.00,1747000,67584.00
2010-08-16,66260.00,66868.00,66187.00,66702.00,1394800,66702.00
2010-08-13,65964.00,66590.00,65921.00,66264.00,1841200,66264.00
2010-08-12,65788.00,66027.00,65257.00,65966.00,1546600,65966.00
2010-08-11,67217.00,67217.00,65690.00,65790.00,1732800,65790.00
2010-08-10,67836.00,67836.00,66946.00,67223.00,1625400,67223.00
2010-08-09,68096.00,68513.00,67749.00,67862.00,1254800,67862.00
2010-08-06,68416.00,68509.00,67686.00,68095.00,1513200,68095.00
2010-08-05,68271.00,68471.00,68002.00,68412.00,1611600,68412.00
2010-08-04,67996.00,68534.00,67577.00,68272.00,1875200,68272.00
2010-08-03,68517.00,68561.00,67942.00,67997.00,1900000,67997.00
2010-08-02,67524.00,68754.00,67524.00,68517.00,1766600,68517.00
2010-07-30,66951.00,67608.00,66218.00,67515.00,2088400,67515.00
2010-07-29,66796.00,67428.00,66596.00,66954.00,2160200,66954.00
2010-07-28,66670.00,67051.00,66427.00,66808.00,1939400,66808.00
2010-07-27,66449.00,67102.00,66293.00,66674.00,1601800,66674.00
2010-07-26,66322.00,66619.00,66151.00,66443.00,1234400,66443.00
2010-07-23,65748.00,66323.00,65427.00,66323.00,1540000,66323.00
2010-07-22,64504.00,66213.00,64504.00,65748.00,2320600,65748.00
2010-07-21,64468.00,65136.00,64209.00,64477.00,1821800,64477.00
2010-07-20,63290.00,64481.00,62902.00,64463.00,2429400,64463.00
2010-07-19,62351.00,63300.00,62351.00,63297.00,1276400,63297.00
2010-07-16,63487.00,63492.00,62298.00,62339.00,1326400,62339.00
2010-07-15,63482.00,63612.00,62960.00,63489.00,1564800,63489.00
2010-07-14,63686.00,63688.00,63015.00,63479.00,1450400,63479.00
2010-07-13,62964.00,63777.00,62964.00,63686.00,1583800,63686.00
2010-07-12,63477.00,63972.00,62750.00,62960.00,1229000,62960.00
2010-07-08,63282.00,63596.00,62895.00,63476.00,1658000,63476.00
2010-07-07,62067.00,63313.00,62004.00,63284.00,1732200,63284.00
2010-07-06,60870.00,62451.00,60870.00,62065.00,1786600,62065.00
2010-07-05,61436.00,61667.00,60796.00,60865.00,760000,60865.00
2010-07-02,61236.00,61812.00,60764.00,61430.00,1143800,61430.00
2010-07-01,60935.00,61381.00,60056.00,61236.00,2130000,61236.00
2010-06-30,61972.00,62645.00,60936.00,60936.00,1958400,60936.00
2010-06-29,64216.00,64216.00,61670.00,61978.00,2196000,61978.00
2010-06-28,64825.00,65105.00,64225.00,64225.00,943200,64225.00
2010-06-25,63937.00,64869.00,63806.00,64824.00,1257200,64824.00
2010-06-24,65154.00,65154.00,63736.00,63937.00,1786400,63937.00
2010-06-23,64812.00,65161.00,64247.00,65160.00,1762200,65160.00
2010-06-22,64834.00,65831.00,64690.00,64811.00,1931800,64811.00
2010-06-21,64442.00,65517.00,64442.00,64829.00,1623000,64829.00
2010-06-18,64542.00,64941.00,64239.00,64438.00,1871800,64438.00
2010-06-17,64745.00,65182.00,64115.00,64541.00,1888800,64541.00
2010-06-16,64442.00,65097.00,63974.00,64751.00,2441000,64751.00
2010-06-15,63534.00,64554.00,63534.00,64442.00,1267200,64442.00
2010-06-14,63613.00,64296.00,63529.00,63533.00,1793600,63533.00
2010-06-11,63044.00,63766.00,62371.00,63605.00,1345800,63605.00
2010-06-10,61484.00,63146.00,61484.00,63049.00,1717000,63049.00
2010-06-09,61799.00,62684.00,61479.00,61479.00,1736400,61479.00
2010-06-08,61187.00,62000.00,61187.00,61856.00,1605200,61856.00
2010-06-07,61675.00,62119.00,61099.00,61183.00,1627000,61183.00
2010-06-04,62940.00,62940.00,61422.00,61676.00,1691000,61676.00
2010-06-02,61836.00,63198.00,61814.00,62943.00,1878400,62943.00
2010-06-01,63033.00,63033.00,61605.00,61841.00,2253800,61841.00
2010-05-31,61950.00,63047.00,61950.00,63047.00,1197600,63047.00
2010-05-28,62080.00,62247.00,61305.00,61947.00,2081600,61947.00
2010-05-27,60191.00,62262.00,60189.00,62092.00,2388000,62092.00
2010-05-26,59182.00,60701.00,59179.00,60190.00,3638600,60190.00
2010-05-25,59912.00,59912.00,57876.00,59184.00,2477800,59184.00
2010-05-24,60255.00,60850.00,59815.00,59915.00,1792600,59915.00
2010-05-21,58192.00,60303.00,57997.00,60259.00,2558200,60259.00
2010-05-20,59684.00,59684.00,57634.00,58192.00,3369200,58192.00
2010-05-19,60841.00,60850.00,59068.00,59689.00,3203000,59689.00
2010-05-18,62871.00,63529.00,60810.00,60841.00,2787000,60841.00
2010-05-17,63406.00,63593.00,61825.00,62866.00,2746000,62866.00
2010-05-14,64787.00,64787.00,63050.00,63412.00,2220800,63412.00
2010-05-13,65223.00,65427.00,64738.00,64788.00,1798200,64788.00
2010-05-12,64438.00,65351.00,64438.00,65224.00,1981400,65224.00
2010-05-11,65449.00,65733.00,64425.00,64425.00,2401600,64425.00
2010-05-10,62872.00,66083.00,62872.00,65453.00,2377400,65453.00
2010-05-07,63416.00,63945.00,61663.00,62871.00,2903400,62871.00
2010-05-06,64915.00,65533.00,60774.00,63414.00,3207600,63414.00
2010-05-05,64859.00,65612.00,63533.00,64914.00,2681200,64914.00
2010-05-04,67116.00,67116.00,64588.00,64869.00,2820000,64869.00
2010-05-03,67534.00,67969.00,66723.00,67119.00,1776000,67119.00
2010-04-30,67975.00,67975.00,67243.00,67530.00,2120200,67530.00
2010-04-29,66661.00,68012.00,66661.00,67978.00,1609400,67978.00
2010-04-28,66513.00,67253.00,65914.00,66656.00,1855600,66656.00
2010-04-27,68868.00,68868.00,66499.00,66511.00,2062200,66511.00
2010-04-26,69509.00,69810.00,68813.00,68872.00,1179400,68872.00
2010-04-23,69388.00,69709.00,68832.00,69509.00,1366800,69509.00
2010-04-22,69313.00,69528.00,68081.00,69386.00,1787200,69386.00
2010-04-20,69101.00,69702.00,69101.00,69318.00,1750200,69318.00
2010-04-19,69418.00,69431.00,68378.00,69098.00,1722000,69098.00
2010-04-16,70522.00,70522.00,69013.00,69421.00,2043800,69421.00
2010-04-15,71036.00,71066.00,70429.00,70524.00,2264600,70524.00
2010-04-14,70794.00,71207.00,70628.00,71035.00,1758800,71035.00
2010-04-13,70618.00,71053.00,70169.00,70792.00,1634200,70792.00
2010-04-12,71414.00,71607.00,70505.00,70614.00,1471600,70614.00
2010-04-09,71783.00,71989.00,71307.00,71417.00,1680000,71417.00
2010-04-08,70793.00,71805.00,70462.00,71785.00,1701800,71785.00
2010-04-07,71092.00,71257.00,70531.00,70793.00,1720400,70793.00
2010-04-06,71290.00,71711.00,70823.00,71096.00,1697000,71096.00
2010-04-05,71148.00,71645.00,71148.00,71290.00,1316000,71290.00
2010-04-01,70375.00,71401.00,70373.00,71136.00,1552800,71136.00
2010-03-31,69960.00,70392.00,69573.00,70372.00,1676800,70372.00
2010-03-30,69942.00,70451.00,69750.00,69960.00,1490000,69960.00
2010-03-29,68681.00,69943.00,68681.00,69939.00,1528000,69939.00
2010-03-26,68442.00,68910.00,68024.00,68683.00,1771400,68683.00
2010-03-25,68916.00,69572.00,68377.00,68442.00,1478400,68442.00
2010-03-24,69382.00,69677.00,68744.00,68913.00,1597400,68913.00
2010-03-23,69049.00,69613.00,68913.00,69387.00,1606600,69387.00
2010-03-22,68814.00,69121.00,67899.00,69042.00,1395200,69042.00
2010-03-19,69701.00,69998.00,68773.00,68829.00,1957400,68829.00
2010-03-18,69726.00,70128.00,68972.00,69697.00,1656200,69697.00
2010-03-17,69945.00,70424.00,69376.00,69723.00,1372000,69723.00
2010-03-16,69023.00,69949.00,69022.00,69942.00,1302400,69942.00
2010-03-15,69340.00,69384.00,68623.00,69024.00,1453000,69024.00
2010-03-12,69901.00,70486.00,69341.00,69341.00,1569000,69341.00
2010-03-11,69981.00,70183.00,69411.00,69885.00,1627200,69885.00
2010-03-10,69578.00,70476.00,69578.00,69979.00,1909200,69979.00
2010-03-09,68573.00,70144.00,68255.00,69576.00,2464200,69576.00
2010-03-08,68851.00,69070.00,68318.00,68575.00,1428200,68575.00
2010-03-05,67823.00,68930.00,67823.00,68847.00,1950600,68847.00
2010-03-04,67643.00,68198.00,66924.00,67815.00,1398600,67815.00
2010-03-03,67780.00,68813.00,67482.00,67641.00,2113800,67641.00
2010-03-02,67228.00,68250.00,67228.00,67779.00,1708600,67779.00
2010-03-01,66511.00,67397.00,66511.00,67228.00,1363000,67228.00
2010-02-26,66118.00,66510.00,65607.00,66503.00,1731400,66503.00
2010-02-25,65765.00,66325.00,64429.00,66121.00,1792200,66121.00
2010-02-24,66110.00,66514.00,65534.00,65795.00,1573000,65795.00
2010-02-23,67179.00,67179.00,65660.00,66108.00,1644800,66108.00
2010-02-22,67598.00,68120.00,67035.00,67184.00,1401600,67184.00
2010-02-19,67811.00,67935.00,67210.00,67597.00,1248000,67597.00
2010-02-18,67285.00,67836.00,66550.00,67836.00,1286600,67836.00
2010-02-17,65863.00,67542.00,65863.00,67285.00,000,67285.00
