"influences";"influenced"
"Allan Bloom";"Alexandre Kojèv"
"Allan Wilson (biologist)";"Arthur P"
"Allen Buchanan";"Dan W. Brock"
"Allen Gin";"Alan W"
"Amartya Sen";"Bernard William"
"Amia Srinivasan";"Alice Crary"
"Anaximenes of Mil";"Anaximan"
"Andrei Bely";"Vladimir Solovyov (philosopher)"
"Andrew K. Golden";"David F. Swensen"
"Andrew Linzey";"Albert Schweitz"
"Andrzej Trybul";"Andrzej Grzegorczyk"
"André Breton";"Alexandre Kojèv"
"Adrian William M";"Bernard William"
"Alexander Fersman";"Vladimir Vernadsky"
"Alexander John Nicholson";"Victor Albert Bailey"
"Alexandru Dimitrie Xenopol";"Vasile P"
"Dallas Will";"Alvin Plantin"
"Dam";"Ammonius Herm"
"Dan Wikl";"Dan W. Brock"
"Daniel Denn";"David Hum"
"David Bohm";"Alfred North W"
"David C";"Arthur Dan"
"David Colquhoun";"Bernard Gin"
"David D";"Benjamin Graham"
"David Gal";"Albert W. Tuck"
"David Hil";"Arthur R. von Hippel"
"David Hum";"Damaris Cudworth Masham"
"David Lan";"Jayantanuja Bandyopadhyay"
"Boris Grushin";"Alexander Zinoviev"
"Caroline Furness Jayn";"Alfred Cort Haddon"
"Constantine L";"John Argyropoul"
"V. Gordon Chil";"Arthur Evan"
"Vincent Racaniell";"Dickson Despomm"
"Vitaly Ginz";"Benjamin Fain"
"Vittorio Hösl";"Hans Jon"
"Vladimir Andreevich Tranzschel";"Vasily Dokuchaev"
"Vladimir Lenin";"Alexander Herzen"
"Vladimir Nikolayevich Myasishchev";"Vladimir Bekhterev"
"Vladimir Prokhorovich Amalitsk";"Vasily Dokuchaev"
"Vladimir Solovyov (philosopher)";"Arthur Schopen"
"Vladimir Vernadsky";"Vasily Dokuchaev"
"Vol";"David Hum"
"Voltairine de Cley";"Benjamin Tuck"
"W. Edwards Demin";"Walter A. Shew"
"W. H. R. Riv";"Alfred Cort Haddon"
"W. Ross Ashby";"Heinz von F"
"Walt Whitman";"Alexander von Humbol"
