1897,John J. McDermott, United States (NY),2:55:10,175.1666666667,,,,0
1898,Ronald J. MacDonald, Canada,2:42:00,162,,,,0
1899,Lawrence Brignolia, United States (MA),2:54:38,174.6333333333,,,,0
1900,John Jack Caffery, Canada,2:39:44,159.7333333333,,,,0
1901,John Jack Caffery, Canada,2:29:23,149.3833333333,,,,0
1902,Sammy Mellor, United States (NY),2:43:12,163.2,,,,0
1903,John Lorden, United States (MA),2:41:29,161.4833333333,,,,0
1904,Michael Spring, United States (NY),2:38:04,158.0666666667,,,,0
1905,Frederick Lorz, United States (NY),2:38:25,158.4166666667,,,,0
1906,Tim Ford, United States (MA),2:45:45,165.75,,,,0
1907,Thomas Longboat, Canada,2:24:24,144.4,,,,0
1908,Thomas Morrissey, United States (NY),2:25:43,145.7166666667,,,,0
1909,Henri Renaud, United States (NH),2:53:36,173.6,,,,0
1910,Fred Cameron, Canada,2:28:52,148.8666666667,,,,0
1911,Clarence DeMar, United States (MA),2:21:39,141.65,,,,0
1912,Michael J. Ryan, United States (NY),2:21:18,141.3,,,,0
1913,Fritz Carlson, United States (MN),2:25:14,145.2333333333,,,,0
1914,James Duffy, Canada,2:25:14,145.2333333333,,,,0
1915,Édouard Fabre, Canada,2:31:41,151.6833333333,,,,0
1916,Arthur Roth, United States (MA),2:27:16,147.2666666667,,,,0
1917,Bill Kennedy, United States (NY),2:28:37,148.6166666667,,,,0
1918,Military Relay[3], United States (MA),2:29:53,149.8833333333,,,,0
1919,Carl Linder, United States (MA),2:29:13,149.2166666667,,,,0
1920,Peter Trivoulides, United States (NY),2:29:31,149.5166666667,,,,0
1921,Frank Zuna, United States (NY),2:18:57,138.95,,,,0
1922,Clarence DeMar, United States (MA),2:18:10,138.1666666667,,,,0
1923,Clarence DeMar, United States (MA),2:23:47,143.7833333333,,,,0
1924,Clarence DeMar, United States (MA),2:29:40,149.6666666667,,,,0
1925,Charles Mellor, United States (IL),2:33:00,153,,,,0
1926,Johnny Miles, Canada,2:25:40,145.6666666667,,,,0
1927,Clarence DeMar, United States (MA),2:40:22,160.3666666667,,,,0
1928,Clarence DeMar, United States (MA),2:37:07,157.1166666667,,,,0
1929,Johnny Miles, Canada,2:33:08,153.1333333333,,,,0
1930,Clarence DeMar, United States (MA),2:34:48,154.8,,,,0
1931,James P. Henigan, United States (MA),2:46:45,166.75,,,,0
1932,Paul de Bruyn, Germany,2:33:36,153.6,,,,0
1933,Leslie S. Pawson, United States (RI),2:31:01,151.0166666667,,,,0
1934,Dave Komonen, Canada,2:32:53,152.8833333333,,,,0
1935,John A. Kelley, United States (MA),2:32:07,152.1166666667,,,,0
1936,Ellison Brown, United States (RI),2:33:40,153.6666666667,,,,0
1937,Walter Young, Canada,2:33:20,153.3333333333,,,,0
1938,Leslie S. Pawson, United States (RI),2:35:34,155.5666666667,,,,0
1939,Ellison Brown, United States (RI),2:28:51,148.85,,,,0
1940,Gérard Côté, Canada,2:28:28,148.4666666667,,,,0
1941,Leslie S. Pawson, United States (RI),2:30:38,150.6333333333,,,,0
1942,Joe Smith, United States (MA),2:26:51,146.85,,,,0
1943,Gérard Côté, Canada,2:28:25,148.4166666667,,,,0
