start,end,lon,lat,shape
2022-06-22 15:45:00,2022-06-22 15:47:00,-72.6063441,42.1285315,2 minutes
2022-06-22 10:40:00,2022-06-22 10:40:10,-84.508371,39.0836224,10 seconds
2022-06-22 03:40:00,2022-06-22 03:45:00,-86.308356,42.1861494,5+ minutes
2022-06-22 02:08:00,2022-06-22 02:18:00,-73.5387341,41.0534302,10 minutes
2022-06-21 23:15:00,2022-06-21 23:15:00,4.671600518245179,49.69801175,Up to one minute
2022-06-21 20:44:00,2022-06-21 20:44:15,-83.2624513,31.5730108,15seconds
2022-06-21 20:30:00,2022-06-21 20:45:00,-70.4533844,43.4925843,15 minutes
2022-06-21 20:23:00,2022-06-21 20:23:16,-78.8783922,42.8867166,16 seconds +/-1 second Fs
2022-06-21 15:15:00,2022-06-21 15:15:04,1.2923049,52.6285694,4 seconds
2022-06-21 10:57:00,2022-06-21 10:58:00,-91.5351856,41.9500969,1 minute
2022-06-21 02:00:00,2022-06-21 02:15:00,0,0,15 mins
2022-06-20 23:35:00,2022-06-20 23:50:00,0,0,15mins
2022-06-20 22:00:00,2022-06-20 22:00:30,0,0,30 seconds
2022-06-20 18:30:00,2022-06-20 18:30:30,0,0,30 seconds
2022-06-20 16:02:00,2022-06-20 16:02:00,0,0,Picture
2022-06-20 11:55:00,2022-06-20 11:58:00,0,0,3 minutes
2022-06-20 07:35:00,2022-06-20 07:35:03,0,0,2-3 seconds
2022-06-20 04:46:00,2022-06-20 04:53:00,0,0,7 min
2022-06-20 01:17:00,2022-06-20 01:32:00,0,0,about 15 minutes
2022-06-20 01:00:00,2022-06-20 02:00:00,0,0,At least 1 hour
2022-06-19 23:43:00,2022-06-19 23:45:00,0,0,2 minutes
2022-06-19 23:05:00,2022-06-20 00:05:00,0,0,1hr+
2022-06-19 22:45:00,2022-06-19 22:45:00,0,0,Few seconds
2022-06-19 22:00:00,2022-06-19 22:10:00,0,0,5-10 minutes
2022-06-19 20:55:00,2022-06-19 21:01:00,0,0,About 6 min
2022-06-19 17:10:00,2022-06-19 17:14:00,0,0,Approx 3 to 4 min
2022-06-19 13:12:00,2022-06-19 13:14:00,0,0,2 minutes
2022-06-19 07:00:00,2022-06-19 07:00:00,0,0,Unknown
2022-06-19 05:15:00,2022-06-19 05:15:30,0,0,30 seconds
2022-06-19 03:00:00,2022-06-19 03:00:30,0,0,30 seconds
2022-06-19 02:30:00,2022-06-19 02:40:00,0,0,Maybe about 5 to 10 mins
2022-06-19 02:20:00,2022-06-19 02:25:00,0,0,5 minutes
2022-06-19 02:19:00,2022-06-19 02:24:00,0,0,About 5 minutes
2022-06-19 02:18:00,2022-06-19 02:22:00,0,0,About 4 minutes
2022-06-19 02:16:00,2022-06-19 02:19:00,0,0,3 minutes
2022-06-19 02:15:00,2022-06-19 02:25:00,0,0,approx 10 mins
2022-06-19 02:00:00,2022-06-19 02:10:00,0,0,About 10 mins
2022-06-19 01:28:00,2022-06-19 01:33:00,0,0,Longer than 5 minutes
2022-06-19 01:20:00,2022-06-19 01:30:00,0,0,10 min
2022-06-19 01:18:00,2022-06-19 01:18:30,0,0,Less then 30 seconds
2022-06-19 01:15:00,2022-06-19 01:16:50,0,0,110 seconds
2022-06-19 01:15:00,2022-06-19 01:25:00,0,0,5-10mins
2022-06-19 01:15:00,2022-06-19 01:22:00,0,0,7 minutes
2022-06-19 01:15:00,2022-06-19 01:15:00,0,0,Unknown
2022-06-19 01:15:00,2022-06-19 01:20:00,0,0,4-5 minutes
2022-06-19 01:15:00,2022-06-19 01:20:00,0,0,5 min
2022-06-19 01:00:00,2022-06-19 01:10:00,0,0,10 minutes
2022-06-19 00:45:00,2022-06-19 00:55:00,0,0,5 to 10 minutes
2022-06-19 00:28:00,2022-06-19 00:30:00,0,0,Less than 2 minutes
2022-06-19 00:28:00,2022-06-19 00:28:00,0,0,A few seconds
2022-06-19 00:22:00,2022-06-19 00:29:00,0,0,About 7 minutes
2022-06-19 00:20:00,2022-06-19 00:30:00,0,0,10 minute
2022-06-19 00:15:00,2022-06-19 00:25:00,0,0,Around 10 minutes
2022-06-19 00:15:00,2022-06-19 00:19:00,0,0,3-4 minutes
2022-06-18 23:45:00,2022-06-19 00:20:00,0,0,1 hour 35 mins and still
2022-06-18 23:00:00,2022-06-18 23:03:00,0,0,3 minutes
2022-06-18 22:50:00,2022-06-18 22:50:00,0,0,Only a few seconds
2022-06-18 21:39:00,2022-06-18 21:39:30,0,0,30 sec
2022-06-18 21:38:00,2022-06-18 21:38:00,0,0,1:06
2022-06-18 21:25:00,2022-06-18 21:25:30,0,0,30 seconds
2022-06-18 21:10:00,2022-06-18 21:15:00,0,0,about 5 min
2022-06-18 20:20:00,2022-06-18 20:20:00,0,0,ten minutes
2022-06-18 20:15:00,2022-06-18 20:15:41,0,0,41 seconds
2022-06-18 20:01:00,2022-06-18 20:01:04,0,0,4 secs
2022-06-18 19:55:00,2022-06-18 19:55:20,0,0,20 seconds
2022-06-18 19:43:00,2022-06-18 19:43:00,0,0,Not sure
2022-06-18 18:00:00,2022-06-18 18:05:00,0,0,5 minutes
2022-06-18 17:15:00,2022-06-18 17:27:00,0,0,10-12 minutes
2022-06-18 07:46:00,2022-06-18 07:46:19,0,0,19 seconds
2022-06-18 03:30:00,2022-06-18 03:30:00,0,0,Minutes
2022-06-18 02:58:00,2022-06-18 02:58:00,0,0,Minutes
2022-06-18 02:31:00,2022-06-18 02:31:02,0,0,2 seconds
2022-06-18 02:15:00,2022-06-18 02:30:00,0,0,10 to 15 minutes
2022-06-18 01:15:00,2022-06-18 01:25:00,0,0,5-10 minutes
2022-06-17 23:08:00,2022-06-17 23:12:00,0,0,3 to 4 minutes
2022-06-17 22:40:00,2022-06-17 22:45:00,0,0,5 minutes
2022-06-17 22:11:00,2022-06-17 22:11:00,0,0,From past one week
2022-06-17 21:44:00,2022-06-17 21:44:10,0,0,~10seconds
2022-06-17 20:46:00,2022-06-17 20:47:00,0,0,1 minute
2022-06-17 20:00:00,2022-06-17 20:00:30,0,0,30 seconds
2022-06-17 19:03:00,2022-06-17 19:03:30,0,0,30 seconds
2022-06-17 17:00:00,2022-06-17 17:01:00,0,0,Less than 60 seconds
2022-06-17 05:34:00,2022-06-17 05:34:00,0,0,Caught on camera
2022-06-17 00:11:00,2022-06-17 00:11:00,0,0,I have many minutes
2022-06-16 23:57:00,2022-06-16 23:57:29,0,0,29 seconds
2022-06-16 23:51:00,2022-06-16 23:51:01,0,0,1 second
2022-06-16 23:48:00,2022-06-16 23:48:35,0,0,Total video 1 min. 35 sec
2022-06-16 20:04:00,2022-06-16 20:09:00,0,0,5 minutes
2022-06-16 17:42:00,2022-06-16 17:42:01,0,0,1 second
2022-06-16 07:05:00,2022-06-16 07:05:00,0,0,Found anomalies in photos
2022-06-16 04:20:00,2022-06-16 04:20:20,0,0,20 seconds
2022-06-16 01:00:00,2022-06-16 01:05:00,0,0,4/5 minutes
2022-06-15 22:15:00,2022-06-15 22:15:03,0,0,3 seconds
2022-06-15 22:12:00,2022-06-15 22:14:00,0,0,2 minutes
2022-06-15 21:00:00,2022-06-15 21:00:30,0,0,30 seconds
2022-06-15 20:51:00,2022-06-15 20:51:00,0,0,One minute
2022-06-15 20:12:00,2022-06-15 20:15:00,0,0,3 minutes
2022-06-15 14:00:00,2022-06-15 14:02:00,0,0,2 minutes
2022-06-15 12:15:00,2022-06-15 12:16:00,0,0,1 minute i
2022-06-15 11:00:00,2022-06-15 11:02:00,0,0,2 minutes
2022-06-15 02:12:00,2022-06-15 02:14:00,0,0,2 minutes
2022-06-14 23:59:00,2022-06-15 00:00:00,0,0,1 minute
2022-06-14 22:08:00,2022-06-14 22:08:03,0,0,3 seconds
2022-06-14 21:30:00,2022-06-14 21:30:00,0,0,One minute or less
2022-06-14 20:41:00,2022-06-14 20:41:00,0,0,Photograph
2022-06-14 20:35:00,2022-06-14 21:45:00,0,0,About 70 minutes
2022-06-14 20:00:00,2022-06-14 20:00:00,0,0,6 MINUTES +-
2022-06-14 19:57:00,2022-06-14 19:57:00,0,0,NA
2022-06-14 12:28:00,2022-06-14 12:58:00,0,0,30 minutes
2022-06-14 00:05:00,2022-06-14 00:07:00,0,0,2 mins.
2022-06-13 19:48:00,2022-06-13 19:56:00,0,0,8 minuets to 10 minuets
2022-06-13 19:30:00,2022-06-13 23:30:00,0,0,4 hours
2022-06-13 09:00:00,2022-06-13 09:00:00,0,0,Continued sighting
2022-06-13 00:15:00,2022-06-13 00:15:15,0,0,10-15 seconds
2022-06-12 22:30:00,2022-06-12 22:35:00,0,0,5 min
2022-06-12 22:04:00,2022-06-12 22:04:25,0,0,about 25 seconds
2022-06-12 21:53:00,2022-06-12 21:53:02,0,0,1-2 seconds
2022-06-12 21:45:00,2022-06-12 21:46:30,0,0,90 second
2022-06-12 04:31:00,2022-06-12 04:31:00,0,0,Unknown
2022-06-12 02:45:00,2022-06-12 02:45:00,0,0,Couple of seconds
2022-06-12 02:40:00,2022-06-12 02:40:04,0,0,At least 1 minute 4 sec
2022-06-12 02:11:00,2022-06-12 02:11:05,0,0,5 seconds
2022-06-12 02:00:00,2022-06-12 02:00:05,0,0,5 seconds
2022-06-11 21:45:00,2022-06-11 21:45:06,0,0,5-6 seconds
2022-06-11 20:51:00,2022-06-11 20:51:12,0,0,12 seconds (recorded)
2022-06-11 20:20:00,2022-06-11 20:25:00,0,0,5 minutes
2022-06-11 18:30:00,2022-06-11 18:30:30,0,0,30 sec (America)
2022-06-11 18:03:00,2022-06-11 18:03:00,0,0,about a minute
2022-06-11 16:30:00,2022-06-11 16:50:00,0,0,20 minutes
2022-06-11 13:42:00,2022-06-11 14:07:00,0,0,Probably 20-25 mins
2022-06-11 10:30:00,2022-06-11 10:33:00,0,0,3 mintues
2022-06-11 01:42:00,2022-06-11 01:45:00,0,0,3 mintues
2022-06-11 00:44:00,2022-06-11 00:44:00,0,0,An hour
2022-06-10 22:40:00,2022-06-10 22:42:00,0,0,2 minutes
2022-06-10 22:35:00,2022-06-10 22:40:00,0,0,Abour 5 min max
2022-06-10 22:30:00,2022-06-10 22:45:00,0,0,15 mins
2022-06-10 21:28:00,2022-06-10 21:38:00,0,0,10 minutes
2022-06-10 21:12:00,2022-06-10 21:12:00,0,0,Not sure
2022-06-10 19:40:00,2022-06-10 19:40:00,0,0,Not sure
2022-06-10 18:10:00,2022-06-10 18:10:00,0,0,2
2022-06-10 15:30:00,2022-06-10 15:35:00,0,0,Just 5 mins bc unaware
2022-06-10 11:59:00,2022-06-10 12:04:00,0,0,Just 5 mins bc unaware
2022-06-10 08:34:00,2022-06-10 08:39:00,0,0,Just 5 mins bc unaware
2022-06-10 05:56:00,2022-06-10 06:01:00,0,0,Just 5 mins bc unaware
2022-06-10 02:30:00,2022-06-10 02:35:00,0,0,5 minutes
2022-06-10 01:00:00,2022-06-10 01:00:15,0,0,15 seconds
2022-06-09 23:18:00,2022-06-09 23:23:00,0,0,5 minutes
2022-06-09 22:53:00,2022-06-09 23:33:00,0,0,30-40 mins
