"Influences","Influenced"
"Ferdinand de Saussure","Jacques Lacan"
"Georg Wilhelm Friedrich Hegel","Jacques Lacan"
"Sigmund Freud","Jacques Lacan "
"Benjamin Tucker","Robert Anton Wilson "
"Brian O'Nolan","Robert Anton Wilson "
"Terence McKenna","Robert Anton Wilson "
"Colin Wilson","Robert Anton Wilson "
"Robert W. Chambers","Robert Anton Wilson "
"Aristotle","Alexander the Great "
"Charles Grafton Page","Alexander Graham Bell "
"Charles Lyell","Alfred Russel Wallace "
"Guillaume-François Rouelle","Antoine Lavoisier "
"Emily Brontë","Anne Brontë "
"Lord Byron","Anne Brontë "
"Charlotte Brontë","Anne Brontë "
"D. H. Lawrence","Anaïs Nin "
"Otto Rank","Anaïs Nin "
"Maya Deren","Anaïs Nin "
"Emerich de Vattel","Benjamin Franklin "
"Pierre-Joseph Proudhon","Benjamin Tucker "
"Josiah Warren","Benjamin Tucker "
"Oscar Wilde","Benjamin Tucker "
"Max Stirner","Benjamin Tucker "
"William F. Buckley, Jr.","Barry Goldwater "
"Robert Morison","Carl Linnaeus "
"George Boole","Claude Shannon "
"Ovid","Christopher Marlowe "
"Ovid","Charles Baudelaire "
"Victor Hugo","Charles Baudelaire "
"Joseph de Maistre","Charles Baudelaire "
"Emanuel Swedenborg","Charles Baudelaire "
"Stéphane Mallarmé","Claude Monet "
"Charles-François Daubigny","Claude Monet "
"William S. Burroughs","Clive Barker "
"William Blake","Clive Barker "
"H. P. Lovecraft","Clive Barker "
"Robert Aickman","Clive Barker "
"Philip K. Dick","David Cronenberg "
"William S. Burroughs","David Cronenberg "
"Vladimir Nabokov","David Cronenberg "
"Franz Kafka","David Lynch "
"Maya Deren","David Lynch "
"Jack Smith (film director)","David Lynch "
"Martin Gardner","Donald Knuth "
"Ovid","Dante Alighieri "
"Virgil","Dante Alighieri "
"Thomas Aquinas","Dante Alighieri "
"Boethius","Dante Alighieri "
"Ernie Kovacs","David Letterman "
"Don Rickles","David Letterman "
"Johnny Carson","David Letterman "
"Jack Paar","David Letterman "
"Samuel Beckett","David Mamet "
"Harold Pinter","David Mamet "
