start,end,lon,lat,shape
2022-12-22 10:50:00,2022-12-22 10:50:15,72.5797068,23.0216238,15 seconds
2022-12-22 09:29:00,2022-12-22 09:29:30,-74.1723667,40.735657,30 secomds
2022-12-22 00:00:00,2022-12-22 00:15:00,28.049722,-26.205,15 min
2022-12-21 21:33:00,2022-12-21 21:35:00,-83.0007065,39.9622601,1-2 minutes
2022-12-21 17:40:00,2022-12-21 17:42:00,-1.2439778415871414,51.6121773,2 minutes
2022-12-21 07:55:00,2022-12-21 08:15:00,0.46466977412300386,51.77046785,20 minutes
2022-12-21 04:11:00,2022-12-21 06:11:00,-95.2231752,33.2002659,2 hours
2022-12-20 23:30:00,2022-12-20 23:30:03,-71.4558911,41.6603788,3 seconds maybe even less
2022-12-20 21:58:00,2022-12-20 21:58:00,-81.28825009371027,41.75682935,A few minutes
2022-12-20 02:30:00,2022-12-20 02:32:00,-77.0365427,38.8950368,1-2 minutes
2022-12-20 02:00:00,2022-12-20 02:05:00,0,0,5 minutes
2022-12-20 01:04:00,2022-12-20 01:24:00,0,0,20 minutes
2022-12-19 00:05:00,2022-12-19 01:05:00,0,0,1hour
2022-12-18 21:05:00,2022-12-18 21:09:00,0,0,4 minutes
2022-12-18 20:20:00,2022-12-18 20:21:00,0,0,1 minute
2022-12-18 19:58:00,2022-12-18 19:59:00,0,0,1 minute
2022-12-18 19:48:00,2022-12-18 19:50:00,0,0,About 2 minutes
2022-12-18 18:00:00,2022-12-18 18:02:00,0,0,120 seconds
2022-12-18 16:15:00,2022-12-18 16:16:00,0,0,1 minute
2022-12-18 13:19:00,2022-12-18 13:23:00,0,0,4 minutes
2022-12-18 06:00:00,2022-12-18 06:00:30,0,0,20 to 30 seconds
2022-12-18 01:00:00,2022-12-18 01:00:00,0,0,still on going
2022-12-18 00:40:00,2022-12-18 00:40:20,0,0,Approx. 15-20 seconds
2022-12-18 00:40:00,2022-12-18 00:40:08,0,0,About 8 seconds
2022-12-17 21:40:00,2022-12-17 21:50:00,0,0,8-10 min
2022-12-17 21:00:00,2022-12-17 21:03:00,0,0,2 to 3 minutes
2022-12-17 20:00:00,2022-12-17 20:00:00,0,0,ongoing
2022-12-17 19:45:00,2022-12-17 20:00:00,0,0,15 minutes
2022-12-17 18:48:00,2022-12-17 18:48:15,0,0,About 15 seconds
2022-12-17 18:45:00,2022-12-17 18:45:00,0,0,About a minute
2022-12-17 18:40:00,2022-12-17 18:40:30,0,0,30 seconds
2022-12-17 18:10:00,2022-12-17 18:10:10,0,0,10 seconds
2022-12-17 18:05:00,2022-12-17 18:05:25,0,0,15-25 seconds
2022-12-17 16:42:00,2022-12-17 16:47:00,0,0,1.5 minutes
2022-12-17 04:35:00,2022-12-17 04:36:00,0,0,1 minute
2022-12-17 02:29:00,2022-12-17 05:29:00,0,0,3 hours
2022-12-16 23:00:00,2022-12-16 23:00:10,0,0,10 seconds
2022-12-16 21:20:00,2022-12-16 21:23:00,0,0,1-3 min
2022-12-16 17:53:00,2022-12-16 17:56:00,0,0,1-3 min
2022-12-16 17:38:00,2022-12-16 17:43:00,0,0,5 mins
2022-12-16 16:00:00,2022-12-16 16:05:00,0,0,5 minutes
2022-12-16 08:00:00,2022-12-16 08:00:40,0,0,30-40 seconds
2022-12-16 03:47:00,2022-12-16 03:47:15,0,0,Appx 10-15 seconds
2022-12-16 03:00:00,2022-12-16 03:00:00,0,0,Around an hour
2022-12-15 17:00:00,2022-12-15 17:01:00,0,0,1 minute
2022-12-15 03:03:00,2022-12-15 03:03:00,0,0,Every night at 2am
2022-12-14 20:30:00,2022-12-15 03:30:00,0,0,7+ hours
2022-12-14 19:40:00,2022-12-14 19:43:00,0,0,3 minutes
2022-12-14 19:30:00,2022-12-14 19:30:00,0,0,A few seconds
2022-12-14 06:33:00,2022-12-14 06:33:00,0,0,seconds
2022-12-14 02:46:00,2022-12-14 02:46:20,0,0,20 seconds
2022-12-13 22:30:00,2022-12-13 22:35:00,0,0,5 min
2022-12-13 21:55:00,2022-12-13 21:55:10,0,0,10 seconds
2022-12-13 21:25:00,2022-12-13 21:25:00,0,0,slow decent for hours
2022-12-13 20:47:00,2022-12-13 20:47:05,0,0,5 seconds
2022-12-13 20:43:00,2022-12-13 20:43:02,0,0,1 or 2 seconds
2022-12-13 18:54:00,2022-12-13 18:54:00,0,0,Less than a minute
2022-12-13 17:57:00,2022-12-13 17:58:00,0,0,approx. 1 minute
2022-12-13 12:07:00,2022-12-13 12:07:40,0,0,40 seconds
2022-12-13 10:20:00,2022-12-13 10:20:40,0,0,40 seconds
2022-12-13 02:00:00,2022-12-13 02:10:00,0,0,10 min
2022-12-12 22:00:00,2022-12-12 22:00:00,0,0,Throughout the night
2022-12-12 22:00:00,2022-12-12 22:00:00,0,0,15 Min
2022-12-12 21:00:00,2022-12-12 21:00:10,0,0,10 secs x 4 times
2022-12-12 20:40:00,2022-12-12 20:40:05,0,0,5 sec.
2022-12-12 19:10:00,2022-12-12 19:10:30,0,0,30 seconds
2022-12-12 18:45:00,2022-12-12 18:49:00,0,0,Approximately 4 minutes
2022-12-11 20:30:00,2022-12-11 20:30:00,0,0,30 MINUTES
