pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
2016,1,1,5,0,2,4,21.00,2037,52.00,0.80,5.54,11.65,69.99,1
2016,1,1,5,0,2,1,16.29,1520,45.00,1.30,0.00,8.00,54.30,1
2016,1,1,5,0,2,6,12.70,1462,36.50,1.30,0.00,0.00,37.80,2
2016,1,1,5,0,2,6,8.70,1210,26.00,1.30,0.00,5.46,32.76,1
2016,1,1,5,0,2,6,5.56,759,17.50,1.30,0.00,0.00,18.80,2
2016,1,1,5,0,4,2,21.45,2004,52.00,0.80,0.00,52.80,105.60,1
2016,1,1,5,0,2,6,8.45,927,24.50,1.30,0.00,6.45,32.25,1
2016,1,1,5,0,2,6,7.30,731,21.50,1.30,0.00,0.00,22.80,2
2016,1,1,5,0,2,5,36.30,2562,109.50,0.80,11.08,10.00,131.38,1
2016,1,1,5,0,6,2,12.46,1351,36.00,1.30,0.00,0.00,37.30,2
2016,1,1,5,1,4,2,16.60,1467,52.00,0.80,5.54,0.00,58.34,2
2016,1,1,5,1,6,3,5.23,854,17.00,1.30,0.00,0.00,18.30,2
2016,1,1,5,1,2,4,18.06,1588,52.00,0.80,5.54,11.67,70.01,1
2016,1,1,5,1,4,2,16.30,1484,52.00,0.80,5.54,0.00,58.34,2
2016,1,1,5,1,4,3,7.97,815,23.50,1.30,5.54,6.07,36.41,1
2016,1,1,5,1,4,3,12.09,1265,33.50,1.30,5.54,10.08,50.42,1
2016,1,1,5,1,2,4,17.30,1588,52.00,0.80,5.54,0.00,58.34,2
2016,1,1,5,1,2,1,13.74,2304,42.00,1.30,0.00,5.00,48.30,1
2016,1,1,5,1,4,2,17.57,1654,52.00,0.80,5.54,0.00,58.34,2
2016,1,1,5,1,4,3,9.50,1299,28.50,1.30,0.00,5.96,35.76,1
2016,1,1,5,1,4,3,9.30,1125,27.00,1.30,0.00,8.45,36.75,1
2016,1,1,5,1,4,3,10.10,1274,30.00,1.30,5.54,5.00,41.84,1
2016,1,1,5,1,2,4,20.57,1834,52.00,0.80,5.54,0.00,58.34,2
2016,1,1,5,1,4,3,7.90,873,23.50,0.80,5.54,0.00,29.84,2
2016,1,1,5,1,4,2,17.33,1561,52.00,0.80,0.00,10.56,63.36,1
2016,1,1,5,1,4,2,20.34,1860,52.00,0.80,5.54,11.67,70.01,1
2016,1,1,5,1,2,2,2.15,488,9.00,0.80,0.00,0.00,9.80,2
2016,1,1,5,1,2,1,9.51,1181,27.00,0.80,0.00,5.56,33.36,1
2016,1,1,5,1,2,6,8.09,986,24.50,0.80,0.00,3.70,29.00,1
2016,1,1,5,1,4,3,7.80,1134,24.00,0.80,0.00,0.00,24.80,2
2016,1,1,5,1,4,3,10.22,1187,29.50,0.80,0.00,4.00,34.30,1
2016,1,1,5,1,2,4,17.97,1492,52.00,0.80,0.00,0.00,52.80,2
2016,1,1,5,1,2,4,20.53,84474,52.00,0.80,5.54,5.83,64.17,1
2016,1,1,5,1,4,3,8.50,878,24.50,0.80,5.54,5.00,35.84,1
2016,1,1,5,1,2,4,16.43,1340,52.00,0.80,5.54,0.00,58.34,2
2016,1,1,5,1,4,3,10.50,1305,30.50,0.80,5.54,0.00,36.84,2
2016,1,1,5,1,2,4,17.96,2258,52.00,0.80,0.00,0.00,52.80,2
2016,1,1,5,1,4,2,16.97,1671,52.00,0.80,5.54,0.00,58.34,2
